utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40315, 40960
0, 0, 35, 40303, 40960
0, 0, 677, 39661, 40960
14, 0, 897, 39441, 40960
14, 0, 1185, 39153, 40960
22, 0, 1405, 38933, 40960
22, 0, 1689, 38649, 40960
21, 0, 1955, 38383, 40960
21, 0, 2239, 38099, 40960
22, 0, 2459, 37879, 40960
22, 0, 2745, 37593, 40960
20, 0, 3009, 37329, 40960
20, 0, 3295, 37043, 40960
22, 0, 3515, 36823, 40960
22, 0, 3777, 36561, 40960
20, 0, 4065, 36273, 40960
20, 0, 4195, 36143, 40960
15, 0, 4195, 36143, 40960
15, 0, 4195, 36143, 40960
0, 0, 4271, 36067, 40960
0, 0, 4301, 36037, 40960
51, 6, 5469, 34869, 40960
51, 6, 5477, 34861, 40960
51, 33, 5477, 34861, 40960
51, 33, 5477, 34861, 40960
87, 25, 5477, 34861, 40960
87, 25, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
97, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
98, 24, 5477, 34861, 40960
31, 8, 5477, 34861, 40960
31, 8, 5477, 34861, 40960
0, 0, 5477, 34861, 40960
0, 0, 4, 40334, 40960
46, 2, 4, 40334, 40960
46, 2, 4, 40334, 40960
28, 1, 4, 40334, 40960
28, 1, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
