utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40315, 40960
0, 0, 29, 40309, 40960
0, 0, 677, 39661, 40960
15, 0, 897, 39441, 40960
15, 0, 1187, 39151, 40960
22, 0, 1427, 38911, 40960
22, 0, 1713, 38625, 40960
21, 0, 1977, 38361, 40960
21, 0, 2261, 38077, 40960
23, 0, 2505, 37833, 40960
23, 0, 2767, 37571, 40960
21, 0, 3055, 37283, 40960
21, 0, 3339, 36999, 40960
23, 0, 3559, 36779, 40960
23, 0, 3845, 36493, 40960
21, 0, 4131, 36207, 40960
21, 0, 4195, 36143, 40960
12, 0, 4195, 36143, 40960
12, 0, 4195, 36143, 40960
0, 0, 4299, 36039, 40960
0, 0, 4411, 35927, 40960
61, 7, 5435, 34903, 40960
61, 7, 5435, 34903, 40960
0, 0, 5435, 34903, 40960
0, 0, 5435, 34903, 40960
0, 0, 5435, 34903, 40960
0, 0, 5435, 34903, 40960
0, 0, 5435, 34903, 40960
0, 0, 5435, 34903, 40960
0, 0, 5469, 34869, 40960
0, 0, 5469, 34869, 40960
56, 13, 5469, 34869, 40960
56, 13, 5469, 34869, 40960
96, 23, 5469, 34869, 40960
96, 23, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
96, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
90, 22, 5469, 34869, 40960
90, 22, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
95, 23, 5469, 34869, 40960
95, 23, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
97, 24, 5469, 34869, 40960
93, 23, 5469, 34869, 40960
93, 23, 5469, 34869, 40960
95, 23, 5469, 34869, 40960
95, 23, 5469, 34869, 40960
94, 23, 5469, 34869, 40960
94, 23, 5469, 34869, 40960
94, 23, 5469, 34869, 40960
94, 23, 5469, 34870, 40960
94, 23, 5469, 34870, 40960
94, 23, 5469, 34870, 40960
87, 22, 5469, 34870, 40960
87, 22, 5469, 34870, 40960
91, 22, 5469, 34870, 40960
91, 22, 5469, 34870, 40960
94, 23, 5469, 34870, 40960
94, 23, 5469, 34870, 40960
96, 24, 5469, 34870, 40960
96, 24, 5469, 34870, 40960
96, 24, 5469, 34870, 40960
96, 24, 5469, 34870, 40960
88, 22, 5469, 34870, 40960
88, 22, 5469, 34870, 40960
95, 23, 5469, 34870, 40960
95, 23, 5469, 34870, 40960
93, 23, 5469, 34870, 40960
