utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
0, 0, 451, 39887, 40960
3, 0, 1029, 39309, 40960
3, 0, 1127, 39211, 40960
12, 0, 1247, 39091, 40960
12, 0, 1367, 38971, 40960
13, 0, 1473, 38865, 40960
12, 0, 1591, 38747, 40960
12, 0, 1711, 38627, 40960
13, 0, 1819, 38519, 40960
13, 0, 1927, 38411, 40960
13, 0, 2045, 38293, 40960
13, 0, 2165, 38173, 40960
13, 0, 2285, 38053, 40960
13, 0, 2405, 37933, 40960
13, 0, 2503, 37835, 40960
13, 0, 2623, 37715, 40960
12, 0, 2743, 37595, 40960
12, 0, 2849, 37489, 40960
15, 0, 3023, 37315, 40960
15, 0, 3023, 37315, 40960
1, 0, 3023, 37315, 40960
1, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3023, 37315, 40960
0, 0, 3087, 37251, 40960
0, 0, 3639, 36699, 40960
31, 14, 3639, 36699, 40960
31, 14, 3639, 36699, 40960
94, 46, 3895, 36443, 40960
94, 46, 3895, 36443, 40960
98, 58, 3895, 36443, 40960
98, 58, 3895, 36443, 40960
97, 58, 3895, 36443, 40960
97, 58, 3895, 36443, 40960
96, 57, 3895, 36443, 40960
96, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
96, 56, 3895, 36443, 40960
96, 56, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
96, 57, 3895, 36443, 40960
96, 57, 3895, 36443, 40960
96, 56, 3895, 36443, 40960
96, 56, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
96, 56, 3895, 36443, 40960
96, 56, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
97, 57, 3895, 36443, 40960
