utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 437, 39940, 40960
9, 0, 531, 39846, 40960
9, 0, 1199, 39178, 40960
16, 0, 1399, 38978, 40960
16, 0, 1611, 38766, 40960
21, 0, 1869, 38508, 40960
21, 0, 2109, 38268, 40960
20, 0, 2307, 38070, 40960
20, 0, 2549, 37828, 40960
21, 0, 2761, 37616, 40960
21, 0, 2975, 37402, 40960
20, 0, 3203, 37174, 40960
20, 0, 3445, 36932, 40960
21, 0, 3687, 36690, 40960
21, 0, 3927, 36450, 40960
21, 0, 4125, 36252, 40960
21, 0, 4355, 36022, 40960
20, 0, 4567, 35810, 40960
20, 0, 4781, 35596, 40960
20, 0, 5021, 35356, 40960
20, 0, 5263, 35114, 40960
21, 0, 5503, 34874, 40960
21, 0, 5717, 34660, 40960
20, 0, 5947, 34430, 40960
20, 0, 6159, 34218, 40960
21, 0, 6401, 33976, 40960
21, 0, 6643, 33734, 40960
21, 0, 6883, 33494, 40960
21, 0, 7097, 33280, 40960
21, 0, 7377, 33000, 40960
21, 0, 7379, 32998, 40960
4, 0, 7379, 32998, 40960
4, 0, 7379, 32998, 40960
0, 0, 7379, 32998, 40960
0, 0, 7379, 32998, 40960
0, 0, 7379, 32998, 40960
0, 0, 7379, 32998, 40960
0, 0, 7379, 32998, 40960
0, 0, 9459, 30918, 40960
4, 1, 9463, 30914, 40960
4, 1, 9463, 30914, 40960
49, 26, 9463, 30914, 40960
49, 26, 9463, 30914, 40960
62, 40, 9463, 30914, 40960
62, 40, 9463, 30914, 40960
52, 35, 9463, 30914, 40960
52, 35, 9465, 30912, 40960
82, 55, 9465, 30912, 40960
82, 55, 9465, 30912, 40960
64, 43, 9465, 30912, 40960
64, 43, 9465, 30912, 40960
72, 48, 9465, 30912, 40960
72, 48, 9465, 30912, 40960
66, 44, 9465, 30912, 40960
66, 44, 9465, 30912, 40960
81, 54, 9465, 30912, 40960
81, 54, 9465, 30912, 40960
7, 4, 9465, 30912, 40960
7, 4, 9465, 30912, 40960
0, 0, 9465, 30912, 40960
0, 0, 9465, 30912, 40960
0, 0, 9465, 30912, 40960
0, 0, 0, 40377, 40960
