utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40333, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
6, 0, 525, 39813, 40960
6, 0, 1049, 39289, 40960
16, 1, 1249, 39089, 40960
16, 1, 1447, 38891, 40960
23, 1, 1623, 38715, 40960
23, 1, 1819, 38519, 40960
24, 1, 2019, 38319, 40960
24, 1, 2217, 38121, 40960
23, 1, 2415, 37923, 40960
23, 1, 2591, 37747, 40960
24, 1, 2789, 37549, 40960
24, 1, 2989, 37349, 40960
23, 1, 3185, 37153, 40960
23, 1, 3361, 36977, 40960
23, 1, 3559, 36779, 40960
23, 1, 3737, 36601, 40960
23, 1, 3933, 36405, 40960
23, 1, 4111, 36227, 40960
22, 1, 4309, 36029, 40960
22, 1, 4485, 35853, 40960
26, 1, 4781, 35557, 40960
26, 1, 4781, 35557, 40960
3, 0, 4781, 35557, 40960
3, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4781, 35557, 40960
0, 0, 4845, 35493, 40960
0, 0, 5397, 34941, 40960
26, 11, 5397, 34941, 40960
26, 11, 5397, 34941, 40960
97, 48, 5653, 34685, 40960
97, 48, 5653, 34685, 40960
95, 56, 5653, 34685, 40960
95, 56, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
96, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
98, 58, 5653, 34685, 40960
98, 58, 5653, 34685, 40960
99, 58, 5653, 34685, 40960
99, 58, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 56, 5653, 34685, 40960
97, 57, 5653, 34685, 40960
