utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 25, 40352, 40960
0, 0, 515, 39862, 40960
13, 0, 1129, 39248, 40960
13, 0, 1349, 39028, 40960
25, 1, 1569, 38808, 40960
25, 1, 1767, 38610, 40960
25, 1, 1965, 38412, 40960
25, 1, 2185, 38192, 40960
26, 1, 2383, 37994, 40960
26, 1, 2603, 37774, 40960
25, 1, 2801, 37576, 40960
25, 1, 3019, 37358, 40960
24, 1, 3219, 37158, 40960
24, 1, 3419, 36958, 40960
26, 1, 3617, 36760, 40960
26, 1, 3813, 36564, 40960
25, 1, 4033, 36344, 40960
25, 1, 4231, 36146, 40960
25, 1, 4451, 35926, 40960
25, 1, 4771, 35606, 40960
21, 1, 4771, 35606, 40960
21, 1, 4771, 35606, 40960
0, 0, 4771, 35606, 40960
0, 0, 4771, 35606, 40960
0, 0, 4771, 35606, 40960
0, 0, 4771, 35606, 40960
0, 0, 4771, 35606, 40960
0, 0, 4771, 35606, 40960
1, 1, 6853, 33524, 40960
1, 1, 6855, 33522, 40960
21, 7, 6855, 33522, 40960
21, 7, 6855, 33522, 40960
49, 21, 6855, 33522, 40960
49, 21, 6855, 33522, 40960
52, 26, 6855, 33522, 40960
52, 26, 6855, 33522, 40960
50, 25, 6855, 33522, 40960
50, 25, 6855, 33522, 40960
44, 22, 6855, 33522, 40960
44, 22, 6855, 33522, 40960
35, 18, 6855, 33522, 40960
35, 18, 6855, 33522, 40960
48, 24, 6855, 33522, 40960
48, 24, 6855, 33522, 40960
56, 29, 6855, 33522, 40960
56, 29, 6855, 33522, 40960
40, 21, 6855, 33522, 40960
40, 21, 6855, 33522, 40960
0, 0, 6855, 33522, 40960
0, 0, 6855, 33522, 40960
0, 0, 6855, 33522, 40960
0, 0, 6855, 33522, 40960
0, 0, 6855, 33522, 40960
