utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 25, 40352, 40960
16, 1, 985, 39392, 40960
16, 1, 991, 39386, 40960
9, 2, 1525, 38852, 40960
9, 2, 1781, 38596, 40960
64, 15, 1781, 38596, 40960
64, 15, 1781, 38596, 40960
58, 16, 1781, 38596, 40960
58, 16, 1781, 38596, 40960
39, 6, 1815, 38562, 40960
39, 6, 1817, 38560, 40960
55, 5, 1819, 38558, 40960
55, 5, 1819, 38558, 40960
68, 6, 1819, 38558, 40960
68, 6, 1819, 38558, 40960
66, 6, 1819, 38558, 40960
66, 6, 1819, 38558, 40960
64, 6, 1819, 38558, 40960
64, 6, 1819, 38558, 40960
70, 6, 1819, 38558, 40960
70, 6, 1819, 38558, 40960
74, 5, 1819, 38558, 40960
74, 5, 1819, 38558, 40960
66, 7, 1819, 38558, 40960
66, 7, 1819, 38558, 40960
66, 6, 1819, 38558, 40960
66, 6, 1819, 38558, 40960
67, 7, 1819, 38558, 40960
67, 7, 1819, 38558, 40960
68, 6, 1821, 38556, 40960
68, 6, 1821, 38556, 40960
74, 5, 1821, 38556, 40960
74, 5, 1821, 38556, 40960
66, 7, 1821, 38556, 40960
66, 7, 1821, 38556, 40960
63, 7, 1821, 38556, 40960
63, 7, 1821, 38556, 40960
66, 6, 1821, 38556, 40960
66, 6, 1821, 38556, 40960
69, 7, 1821, 38556, 40960
69, 7, 1821, 38556, 40960
70, 5, 1821, 38556, 40960
70, 5, 1821, 38556, 40960
66, 6, 1821, 38556, 40960
66, 6, 1821, 38556, 40960
67, 6, 1821, 38556, 40960
67, 6, 1821, 38556, 40960
69, 8, 1821, 38556, 40960
69, 8, 2333, 38044, 40960
53, 11, 2333, 38044, 40960
53, 11, 2013, 38364, 40960
61, 19, 2267, 38110, 40960
61, 19, 2267, 38110, 40960
64, 23, 2235, 38142, 40960
64, 23, 2235, 38142, 40960
63, 24, 2203, 38174, 40960
63, 24, 2203, 38174, 40960
61, 24, 1659, 38718, 40960
61, 24, 2171, 38206, 40960
63, 21, 2171, 38206, 40960
63, 21, 2171, 38206, 40960
64, 23, 2171, 38206, 40960
64, 23, 2171, 38206, 40960
62, 20, 2171, 38206, 40960
62, 20, 2171, 38206, 40960
64, 23, 2171, 38206, 40960
64, 23, 1659, 38718, 40960
61, 20, 2171, 38206, 40960
61, 20, 2171, 38206, 40960
62, 21, 2171, 38206, 40960
62, 21, 2171, 38206, 40960
64, 24, 2171, 38206, 40960
64, 24, 2171, 38206, 40960
59, 21, 1659, 38718, 40960
59, 21, 2171, 38206, 40960
62, 20, 2171, 38206, 40960
62, 20, 2171, 38206, 40960
64, 23, 2171, 38206, 40960
64, 23, 2171, 38206, 40960
62, 20, 2171, 38206, 40960
62, 20, 1659, 38718, 40960
62, 20, 2171, 38206, 40960
62, 20, 2171, 38206, 40960
62, 21, 2171, 38206, 40960
62, 21, 2171, 38206, 40960
60, 24, 1659, 38718, 40960
60, 24, 2171, 38206, 40960
63, 21, 1659, 38718, 40960
63, 21, 2171, 38206, 40960
61, 20, 2171, 38206, 40960
61, 20, 2171, 38206, 40960
62, 20, 2171, 38206, 40960
62, 20, 1659, 38718, 40960
53, 16, 3275, 37102, 40960
53, 16, 3275, 37102, 40960
77, 11, 3275, 37102, 40960
77, 11, 3275, 37102, 40960
82, 11, 3275, 37102, 40960
82, 11, 3275, 37102, 40960
81, 10, 3275, 37102, 40960
81, 10, 3275, 37102, 40960
84, 11, 3275, 37102, 40960
84, 11, 4203, 36174, 40960
82, 13, 4203, 36174, 40960
82, 13, 4203, 36174, 40960
100, 15, 4203, 36174, 40960
100, 15, 4203, 36174, 40960
68, 11, 4203, 36174, 40960
68, 11, 4207, 36170, 40960
58, 13, 4207, 36170, 40960
58, 13, 4207, 36170, 40960
64, 13, 4207, 36170, 40960
64, 13, 4207, 36170, 40960
64, 13, 4207, 36170, 40960
64, 13, 4207, 36170, 40960
65, 13, 4207, 36170, 40960
65, 13, 4207, 36170, 40960
67, 8, 4207, 36170, 40960
67, 8, 4207, 36170, 40960
69, 12, 4207, 36170, 40960
69, 12, 4207, 36170, 40960
69, 10, 4207, 36170, 40960
69, 10, 4207, 36170, 40960
66, 19, 4207, 36170, 40960
66, 19, 4207, 36170, 40960
66, 14, 4207, 36170, 40960
66, 14, 4207, 36170, 40960
66, 14, 4207, 36170, 40960
66, 14, 4207, 36170, 40960
66, 8, 4207, 36170, 40960
66, 8, 4207, 36170, 40960
69, 14, 4207, 36170, 40960
69, 14, 4207, 36170, 40960
74, 20, 4207, 36170, 40960
74, 20, 4209, 36168, 40960
60, 14, 4209, 36168, 40960
60, 14, 4209, 36168, 40960
80, 23, 4209, 36168, 40960
80, 23, 4209, 36168, 40960
75, 13, 4209, 36168, 40960
75, 13, 4209, 36168, 40960
79, 22, 4209, 36168, 40960
79, 22, 4209, 36168, 40960
78, 15, 4209, 36168, 40960
78, 15, 4209, 36168, 40960
76, 20, 4209, 36168, 40960
76, 20, 4209, 36168, 40960
78, 15, 4209, 36168, 40960
78, 15, 4209, 36168, 40960
75, 20, 4209, 36168, 40960
75, 20, 4209, 36168, 40960
79, 16, 4209, 36168, 40960
79, 16, 4209, 36168, 40960
74, 19, 4209, 36168, 40960
74, 19, 4209, 36168, 40960
79, 12, 4209, 36168, 40960
79, 12, 4209, 36168, 40960
83, 10, 4209, 36168, 40960
83, 10, 4209, 36168, 40960
55, 5, 4209, 36168, 40960
55, 5, 3041, 37336, 40960
62, 9, 3041, 37336, 40960
62, 9, 3041, 37336, 40960
55, 12, 3041, 37336, 40960
55, 12, 3041, 37336, 40960
55, 11, 2955, 37422, 40960
55, 11, 2955, 37422, 40960
56, 12, 2955, 37422, 40960
56, 12, 2955, 37422, 40960
51, 9, 2955, 37422, 40960
51, 9, 2955, 37422, 40960
52, 10, 2955, 37422, 40960
52, 10, 2955, 37422, 40960
55, 11, 2955, 37422, 40960
55, 11, 2955, 37422, 40960
54, 11, 2955, 37422, 40960
54, 11, 2785, 37592, 40960
55, 10, 2785, 37592, 40960
55, 10, 2785, 37592, 40960
53, 10, 2785, 37592, 40960
53, 10, 2785, 37592, 40960
55, 12, 2785, 37592, 40960
