utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
0, 0, 439, 39899, 40960
2, 0, 439, 39899, 40960
2, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
1, 0, 613, 39725, 40960
1, 0, 1087, 39251, 40960
40, 1, 1507, 38831, 40960
40, 1, 1991, 38347, 40960
40, 1, 2467, 37871, 40960
40, 1, 2941, 37397, 40960
40, 1, 3415, 36923, 40960
40, 1, 3803, 36535, 40960
40, 1, 4255, 36083, 40960
40, 1, 4707, 35631, 40960
40, 1, 5183, 35155, 40960
40, 1, 5657, 34681, 40960
39, 1, 6131, 34207, 40960
39, 1, 6519, 33819, 40960
40, 1, 6971, 33367, 40960
40, 1, 7423, 32915, 40960
40, 1, 7899, 32439, 40960
40, 1, 8373, 31965, 40960
39, 1, 8847, 31491, 40960
39, 1, 9235, 31103, 40960
40, 1, 9687, 30651, 40960
40, 1, 10175, 30163, 40960
40, 1, 10649, 29689, 40960
40, 1, 11069, 29269, 40960
40, 1, 11521, 28817, 40960
40, 1, 12029, 28309, 40960
40, 1, 12417, 27921, 40960
40, 1, 12891, 27447, 40960
39, 1, 13105, 27233, 40960
39, 1, 13105, 27233, 40960
2, 0, 13437, 26901, 40960
2, 0, 13437, 26901, 40960
9, 5, 13437, 26901, 40960
9, 5, 13437, 26901, 40960
0, 0, 13437, 26901, 40960
0, 0, 13437, 26901, 40960
0, 0, 13437, 26901, 40960
0, 0, 13437, 26901, 40960
0, 0, 13437, 26901, 40960
0, 0, 13437, 26901, 40960
0, 0, 13437, 26901, 40960
0, 0, 13443, 26895, 40960
19, 7, 13533, 26805, 40960
19, 7, 13533, 26805, 40960
53, 19, 13533, 26805, 40960
53, 19, 13533, 26805, 40960
38, 16, 13533, 26805, 40960
38, 16, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
51, 22, 13533, 26805, 40960
51, 22, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
51, 22, 13533, 26805, 40960
51, 22, 13533, 26805, 40960
57, 26, 13533, 26805, 40960
57, 26, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
55, 25, 13533, 26805, 40960
55, 25, 13533, 26805, 40960
40, 17, 13533, 26805, 40960
40, 17, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
39, 17, 13533, 26805, 40960
39, 17, 13533, 26805, 40960
58, 25, 13533, 26805, 40960
58, 25, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
46, 20, 13533, 26805, 40960
46, 20, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
38, 15, 13533, 26805, 40960
38, 15, 13533, 26805, 40960
60, 27, 13533, 26805, 40960
60, 27, 13533, 26805, 40960
46, 21, 13533, 26805, 40960
46, 21, 13533, 26805, 40960
49, 21, 13533, 26805, 40960
49, 21, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
41, 18, 13533, 26805, 40960
41, 18, 13533, 26805, 40960
54, 24, 13533, 26805, 40960
54, 24, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
44, 18, 13533, 26805, 40960
44, 18, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
56, 25, 13533, 26805, 40960
56, 25, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
44, 18, 13533, 26805, 40960
44, 18, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
41, 18, 13533, 26805, 40960
41, 18, 13533, 26805, 40960
55, 24, 13533, 26805, 40960
55, 24, 13533, 26805, 40960
53, 24, 13533, 26805, 40960
53, 24, 13533, 26805, 40960
43, 18, 13533, 26805, 40960
43, 18, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
56, 25, 13533, 26805, 40960
56, 25, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
44, 19, 13533, 26805, 40960
44, 19, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
56, 25, 13533, 26805, 40960
56, 25, 13533, 26805, 40960
51, 23, 13533, 26805, 40960
51, 23, 13533, 26805, 40960
44, 19, 13533, 26805, 40960
44, 19, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
49, 22, 13533, 26805, 40960
49, 22, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
49, 22, 13533, 26805, 40960
49, 22, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
46, 19, 13533, 26805, 40960
46, 19, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
49, 22, 13533, 26805, 40960
49, 22, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
38, 16, 13533, 26805, 40960
38, 16, 13533, 26805, 40960
60, 27, 13533, 26805, 40960
60, 27, 13533, 26805, 40960
48, 21, 13533, 26805, 40960
48, 21, 13533, 26805, 40960
48, 21, 13533, 26805, 40960
48, 21, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
61, 28, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
60, 26, 13533, 26805, 40960
60, 26, 13533, 26805, 40960
49, 21, 13533, 26805, 40960
49, 21, 13533, 26805, 40960
49, 21, 13533, 26805, 40960
49, 21, 13533, 26805, 40960
60, 27, 13533, 26805, 40960
60, 27, 13533, 26805, 40960
39, 15, 13533, 26805, 40960
39, 15, 13533, 26805, 40960
64, 28, 13533, 26805, 40960
64, 28, 13533, 26805, 40960
44, 19, 13533, 26805, 40960
44, 19, 13533, 26805, 40960
53, 23, 13533, 26805, 40960
53, 23, 13533, 26805, 40960
54, 24, 13533, 26805, 40960
54, 24, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
41, 18, 13533, 26805, 40960
41, 18, 13533, 26805, 40960
56, 24, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
52, 23, 13533, 26805, 40960
47, 19, 13533, 26805, 40960
47, 19, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
38, 15, 13533, 26805, 40960
38, 15, 13533, 26805, 40960
62, 27, 13533, 26805, 40960
62, 27, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
47, 20, 13533, 26805, 40960
51, 21, 13533, 26805, 40960
51, 21, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
51, 22, 13533, 26805, 40960
51, 22, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
45, 20, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
58, 26, 13533, 26805, 40960
38, 16, 13533, 26805, 40960
38, 16, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
43, 19, 13533, 26805, 40960
43, 19, 13533, 26805, 40960
53, 23, 13533, 26805, 40960
53, 23, 13533, 26805, 40960
53, 24, 13533, 26805, 40960
53, 24, 13533, 26805, 40960
42, 18, 13533, 26805, 40960
42, 18, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
63, 28, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
41, 17, 13533, 26805, 40960
56, 24, 13533, 26805, 40960
56, 24, 13533, 26805, 40960
51, 23, 13533, 26805, 40960
51, 23, 13533, 26805, 40960
45, 19, 13533, 26805, 40960
45, 19, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
62, 28, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
39, 16, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
59, 26, 13533, 26805, 40960
50, 22, 13533, 26805, 40960
