utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40337, 40960
0, 0, 1, 40337, 40960
0, 0, 15, 40323, 40960
1, 0, 427, 39911, 40960
1, 0, 459, 39879, 40960
5, 0, 495, 39843, 40960
5, 0, 531, 39807, 40960
4, 0, 565, 39773, 40960
4, 0, 603, 39735, 40960
4, 0, 641, 39697, 40960
4, 0, 675, 39663, 40960
4, 0, 713, 39625, 40960
4, 0, 749, 39589, 40960
4, 0, 781, 39557, 40960
4, 0, 781, 39557, 40960
1, 0, 781, 39557, 40960
1, 0, 781, 39557, 40960
0, 0, 781, 39557, 40960
0, 0, 781, 39557, 40960
0, 0, 781, 39557, 40960
0, 0, 781, 39557, 40960
0, 0, 781, 39557, 40960
0, 0, 955, 39383, 40960
8, 0, 1299, 39039, 40960
8, 0, 1901, 38437, 40960
40, 1, 2201, 38137, 40960
40, 1, 2675, 37663, 40960
38, 0, 3103, 37235, 40960
38, 0, 3621, 36717, 40960
39, 1, 4051, 36287, 40960
39, 1, 4459, 35879, 40960
40, 1, 4907, 35431, 40960
40, 1, 5425, 34913, 40960
40, 1, 5745, 34593, 40960
40, 1, 6283, 34055, 40960
39, 1, 6801, 33537, 40960
39, 1, 7165, 33173, 40960
40, 1, 7575, 32763, 40960
40, 1, 8177, 32161, 40960
40, 1, 8521, 31817, 40960
40, 1, 8951, 31387, 40960
40, 1, 9423, 30915, 40960
40, 1, 9897, 30441, 40960
40, 1, 10415, 29923, 40960
40, 1, 10779, 29559, 40960
40, 1, 11361, 28977, 40960
40, 1, 11791, 28547, 40960
40, 1, 12135, 28203, 40960
40, 1, 12737, 27601, 40960
40, 1, 13037, 27301, 40960
40, 1, 13511, 26827, 40960
40, 1, 13939, 26399, 40960
40, 1, 14541, 25797, 40960
40, 1, 14887, 25451, 40960
40, 1, 15295, 25043, 40960
39, 1, 15833, 24505, 40960
39, 1, 16197, 24141, 40960
40, 1, 16779, 23559, 40960
40, 1, 17209, 23129, 40960
40, 1, 17617, 22721, 40960
40, 1, 18155, 22183, 40960
40, 1, 18519, 21819, 40960
40, 1, 19013, 21325, 40960
40, 1, 19531, 20807, 40960
40, 1, 19875, 20463, 40960
40, 1, 20305, 20033, 40960
40, 1, 20777, 19561, 40960
40, 1, 21251, 19087, 40960
40, 1, 21679, 18659, 40960
40, 1, 22197, 18141, 40960
40, 1, 22627, 17711, 40960
40, 1, 23035, 17303, 40960
40, 1, 23483, 16855, 40960
40, 1, 23983, 16355, 40960
40, 1, 24501, 15837, 40960
40, 1, 24847, 15491, 40960
40, 1, 25449, 14889, 40960
40, 1, 25793, 14545, 40960
40, 1, 26049, 14289, 40960
32, 0, 26049, 14289, 40960
32, 0, 26049, 14289, 40960
0, 0, 26049, 14289, 40960
0, 0, 28441, 11897, 40960
22, 15, 28441, 11897, 40960
22, 15, 28441, 11897, 40960
86, 37, 28441, 11897, 40960
86, 37, 28447, 11891, 40960
85, 43, 28463, 11875, 40960
85, 43, 28463, 11875, 40960
85, 48, 28479, 11859, 40960
85, 48, 28495, 11843, 40960
88, 54, 28495, 11843, 40960
88, 54, 28495, 11843, 40960
87, 51, 28495, 11843, 40960
87, 51, 28495, 11843, 40960
89, 44, 28495, 11843, 40960
89, 49, 28495, 11843, 40960
89, 49, 28495, 11843, 40960
83, 47, 28495, 11843, 40960
83, 47, 28495, 11843, 40960
91, 56, 28495, 11843, 40960
91, 56, 28495, 11843, 40960
87, 49, 28495, 11843, 40960
87, 49, 28495, 11843, 40960
87, 43, 28495, 11843, 40960
87, 43, 28495, 11843, 40960
89, 49, 28495, 11843, 40960
89, 49, 28495, 11843, 40960
87, 51, 28495, 11843, 40960
87, 51, 28495, 11843, 40960
88, 53, 28495, 11843, 40960
88, 53, 28495, 11843, 40960
90, 49, 28495, 11843, 40960
90, 49, 28495, 11843, 40960
86, 43, 28495, 11843, 40960
86, 43, 28495, 11843, 40960
85, 46, 28495, 11843, 40960
85, 46, 28495, 11843, 40960
91, 54, 28495, 11843, 40960
91, 54, 28495, 11843, 40960
83, 49, 28495, 11843, 40960
83, 49, 28495, 11843, 40960
90, 48, 28495, 11843, 40960
90, 48, 28495, 11843, 40960
91, 47, 28495, 11843, 40960
91, 47, 28495, 11843, 40960
85, 47, 28495, 11843, 40960
85, 47, 28495, 11843, 40960
88, 51, 28495, 11843, 40960
88, 51, 28495, 11843, 40960
86, 52, 28495, 11843, 40960
86, 52, 26511, 13827, 40960
95, 69, 26511, 13827, 40960
95, 69, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 90, 26511, 13827, 40960
96, 90, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
97, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 91, 26511, 13827, 40960
96, 80, 899, 39439, 40960
96, 80, 0, 40337, 40960
100, 3, 0, 40337, 40960
100, 3, 0, 40337, 40960
100, 3, 0, 40337, 40960
100, 3, 0, 40337, 40960
100, 3, 0, 40337, 40960
100, 3, 0, 40337, 40960
40, 1, 0, 40337, 40960
40, 1, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
