utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 25, 40314, 40960
0, 0, 439, 39899, 40960
2, 0, 439, 39899, 40960
2, 0, 891, 39447, 40960
26, 0, 1371, 38967, 40960
26, 0, 1851, 38487, 40960
38, 0, 2331, 38007, 40960
38, 0, 2775, 37563, 40960
37, 0, 3103, 37235, 40960
37, 0, 3435, 36903, 40960
17, 1, 3435, 36903, 40960
17, 1, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3435, 36903, 40960
0, 0, 3781, 36557, 40960
0, 0, 3781, 36557, 40960
52, 21, 3781, 36557, 40960
52, 21, 3781, 36557, 40960
64, 32, 3781, 36557, 40960
64, 32, 3781, 36557, 40960
62, 30, 3781, 36557, 40960
62, 30, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
58, 29, 3781, 36557, 40960
58, 29, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
56, 27, 3781, 36557, 40960
56, 27, 3781, 36557, 40960
51, 25, 3781, 36557, 40960
51, 25, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
47, 22, 3781, 36557, 40960
47, 22, 3781, 36557, 40960
60, 30, 3781, 36557, 40960
60, 30, 3781, 36557, 40960
65, 32, 3781, 36557, 40960
65, 32, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
47, 23, 3781, 36557, 40960
47, 23, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
52, 25, 3781, 36557, 40960
52, 25, 3781, 36557, 40960
55, 27, 3781, 36557, 40960
55, 27, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
44, 21, 3781, 36557, 40960
44, 21, 3781, 36557, 40960
64, 32, 3781, 36557, 40960
64, 32, 3781, 36557, 40960
61, 30, 3781, 36557, 40960
46, 22, 3781, 36557, 40960
46, 22, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
53, 25, 3781, 36557, 40960
53, 25, 3781, 36557, 40960
56, 28, 3781, 36557, 40960
56, 28, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
56, 28, 3781, 36557, 40960
56, 28, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
49, 24, 3781, 36557, 40960
49, 24, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
49, 23, 3781, 36557, 40960
49, 23, 3781, 36557, 40960
58, 29, 3781, 36557, 40960
58, 29, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
66, 33, 3781, 36557, 40960
66, 33, 3781, 36557, 40960
60, 29, 3781, 36557, 40960
60, 29, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
67, 34, 3781, 36557, 40960
67, 34, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
48, 24, 3781, 36557, 40960
48, 24, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
58, 28, 3781, 36557, 40960
58, 28, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
66, 33, 3781, 36557, 40960
66, 33, 3781, 36557, 40960
60, 29, 3781, 36557, 40960
60, 29, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
68, 33, 3781, 36557, 40960
68, 33, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
47, 23, 3781, 36557, 40960
47, 23, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
51, 24, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
49, 24, 3781, 36557, 40960
49, 24, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
49, 23, 3781, 36557, 40960
49, 23, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
57, 28, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
59, 28, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
61, 30, 3781, 36557, 40960
61, 30, 3781, 36557, 40960
65, 32, 3781, 36557, 40960
65, 32, 3781, 36557, 40960
44, 21, 3781, 36557, 40960
44, 21, 3781, 36557, 40960
70, 35, 3781, 36557, 40960
70, 35, 3781, 36557, 40960
54, 26, 3781, 36557, 40960
54, 26, 3781, 36557, 40960
54, 26, 3781, 36557, 40960
54, 26, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
45, 21, 3781, 36557, 40960
45, 21, 3781, 36557, 40960
63, 31, 3781, 36557, 40960
63, 31, 3781, 36557, 40960
63, 30, 3781, 36557, 40960
63, 30, 3781, 36557, 40960
45, 22, 3781, 36557, 40960
45, 22, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
53, 25, 3781, 36557, 40960
53, 25, 3781, 36557, 40960
54, 27, 3781, 36557, 40960
54, 27, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
44, 21, 3781, 36557, 40960
44, 21, 3781, 36557, 40960
64, 32, 3781, 36557, 40960
64, 32, 3781, 36557, 40960
61, 30, 3781, 36557, 40960
61, 30, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
48, 23, 3781, 36557, 40960
70, 35, 3781, 36557, 40960
70, 35, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
58, 29, 3781, 36557, 40960
58, 29, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
67, 33, 3781, 36557, 40960
42, 21, 3781, 36557, 40960
42, 21, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
58, 28, 3781, 36557, 40960
58, 28, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
50, 24, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
49, 23, 3781, 36557, 40960
49, 23, 3781, 36557, 40960
59, 29, 3781, 36557, 40960
59, 29, 3781, 36557, 40960
66, 32, 3781, 36557, 40960
66, 32, 3781, 36557, 40960
42, 21, 3781, 36557, 40960
42, 21, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
68, 34, 3781, 36557, 40960
57, 27, 3781, 36557, 40960
57, 27, 3781, 36557, 40960
51, 25, 3781, 36557, 40960
51, 25, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
48, 22, 3781, 36557, 40960
48, 22, 3781, 36557, 40960
60, 30, 3781, 36557, 40960
60, 30, 3781, 36557, 40960
65, 32, 3781, 36557, 40960
65, 32, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
43, 21, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
56, 27, 3781, 36557, 40960
56, 27, 3781, 36557, 40960
52, 25, 3781, 36557, 40960
52, 25, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
69, 35, 3781, 36557, 40960
46, 22, 3781, 36557, 40960
46, 22, 3781, 36557, 40960
62, 31, 3781, 36557, 40960
62, 31, 3781, 36557, 40960
64, 31, 3781, 36557, 40960
