utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40337, 40960
0, 0, 1, 40337, 40960
0, 0, 15, 40323, 40960
1, 0, 429, 39909, 40960
1, 0, 459, 39879, 40960
5, 0, 493, 39845, 40960
5, 0, 529, 39809, 40960
4, 0, 557, 39781, 40960
4, 0, 597, 39741, 40960
4, 0, 637, 39701, 40960
4, 0, 675, 39663, 40960
4, 0, 715, 39623, 40960
4, 0, 753, 39585, 40960
4, 0, 781, 39557, 40960
4, 0, 781, 39557, 40960
0, 0, 1081, 39257, 40960
0, 0, 1535, 38803, 40960
37, 0, 2011, 38327, 40960
37, 0, 2491, 37847, 40960
38, 0, 2951, 37387, 40960
38, 0, 3421, 36917, 40960
38, 0, 3893, 36445, 40960
38, 0, 4343, 35995, 40960
38, 0, 4815, 35523, 40960
38, 0, 7215, 33123, 40960
33, 5, 7561, 32777, 40960
33, 5, 7561, 32777, 40960
86, 39, 7561, 32777, 40960
86, 39, 7561, 32777, 40960
85, 46, 7561, 32777, 40960
85, 46, 7561, 32777, 40960
83, 48, 7561, 32777, 40960
83, 48, 7561, 32777, 40960
91, 58, 7561, 32777, 40960
91, 58, 7561, 32777, 40960
87, 54, 7561, 32777, 40960
87, 54, 7561, 32777, 40960
86, 45, 7561, 32777, 40960
86, 45, 7561, 32777, 40960
87, 49, 7561, 32777, 40960
87, 49, 7561, 32777, 40960
89, 55, 7561, 32777, 40960
89, 55, 7561, 32777, 40960
83, 51, 7561, 32777, 40960
83, 51, 7561, 32777, 40960
89, 53, 7561, 32777, 40960
89, 53, 7561, 32777, 40960
92, 50, 7561, 32777, 40960
92, 50, 7561, 32777, 40960
85, 49, 7561, 32777, 40960
85, 49, 7561, 32777, 40960
83, 49, 7561, 32777, 40960
83, 49, 7561, 32777, 40960
92, 61, 7561, 32777, 40960
92, 61, 7561, 32777, 40960
88, 48, 7561, 32777, 40960
88, 48, 7561, 32777, 40960
86, 47, 7561, 32777, 40960
86, 47, 7561, 32777, 40960
84, 49, 7561, 32777, 40960
84, 49, 7561, 32777, 40960
91, 58, 7561, 32777, 40960
91, 58, 7561, 32777, 40960
86, 54, 7561, 32777, 40960
86, 54, 7561, 32777, 40960
86, 45, 7561, 32777, 40960
86, 45, 7561, 32777, 40960
88, 50, 7561, 32777, 40960
88, 50, 7561, 32777, 40960
87, 53, 7561, 32777, 40960
87, 53, 7561, 32777, 40960
84, 52, 7561, 32777, 40960
84, 52, 5577, 34761, 40960
94, 48, 5577, 34761, 40960
94, 48, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
86, 33, 5577, 34761, 40960
86, 33, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
91, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 5577, 34761, 40960
90, 35, 4023, 36315, 40960
90, 35, 1128, 39209, 40960
81, 5, 0, 40337, 40960
81, 5, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
