utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
1, 0, 427, 39911, 40960
1, 0, 439, 39899, 40960
1, 0, 531, 39807, 40960
1, 0, 1013, 39325, 40960
38, 0, 1485, 38853, 40960
38, 0, 1957, 38381, 40960
39, 0, 2439, 37899, 40960
39, 0, 2911, 37427, 40960
39, 0, 3399, 36939, 40960
39, 0, 3861, 36477, 40960
39, 0, 4333, 36005, 40960
39, 0, 4673, 35665, 40960
14, 2, 4675, 35663, 40960
14, 2, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4675, 35663, 40960
0, 0, 4775, 35563, 40960
0, 0, 5021, 35317, 40960
52, 21, 5021, 35317, 40960
52, 21, 5021, 35317, 40960
58, 29, 5021, 35317, 40960
58, 29, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
50, 25, 5021, 35317, 40960
50, 25, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
61, 31, 5021, 35317, 40960
61, 31, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
51, 25, 5021, 35317, 40960
51, 25, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
48, 23, 5021, 35317, 40960
48, 23, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
44, 22, 5021, 35317, 40960
44, 22, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
54, 26, 5021, 35317, 40960
54, 26, 5021, 35317, 40960
56, 28, 5021, 35317, 40960
56, 28, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
66, 34, 5021, 35317, 40960
66, 34, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
49, 25, 5021, 35317, 40960
49, 25, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
51, 26, 5021, 35317, 40960
51, 26, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
48, 23, 5021, 35317, 40960
48, 23, 5021, 35317, 40960
61, 31, 5021, 35317, 40960
61, 31, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
44, 22, 5021, 35317, 40960
44, 22, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
65, 33, 5021, 35317, 40960
65, 33, 5021, 35317, 40960
62, 30, 5021, 35317, 40960
62, 30, 5021, 35317, 40960
48, 24, 5021, 35317, 40960
48, 24, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
51, 25, 5021, 35317, 40960
51, 25, 5021, 35317, 40960
57, 29, 5021, 35317, 40960
57, 29, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
59, 29, 5021, 35317, 40960
59, 29, 5021, 35317, 40960
50, 25, 5021, 35317, 40960
50, 25, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
50, 23, 5021, 35317, 40960
50, 23, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
68, 33, 5021, 35317, 40960
68, 33, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
68, 34, 5021, 35317, 40960
61, 29, 5021, 35317, 40960
61, 29, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
53, 25, 5021, 35317, 40960
53, 25, 5021, 35317, 40960
55, 28, 5021, 35317, 40960
55, 28, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
44, 21, 5021, 35317, 40960
64, 32, 5021, 35317, 40960
64, 32, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
45, 22, 5021, 35317, 40960
45, 22, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
54, 26, 5021, 35317, 40960
54, 26, 5021, 35317, 40960
54, 27, 5021, 35317, 40960
54, 27, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
46, 22, 5021, 35317, 40960
46, 22, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
68, 35, 5021, 35317, 40960
68, 35, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
51, 25, 5021, 35317, 40960
51, 25, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
49, 23, 5021, 35317, 40960
49, 23, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
52, 26, 5021, 35317, 40960
52, 26, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
47, 22, 5021, 35317, 40960
47, 22, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
44, 22, 5021, 35317, 40960
44, 22, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
53, 26, 5021, 35317, 40960
53, 26, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
46, 22, 5021, 35317, 40960
46, 22, 5021, 35317, 40960
63, 32, 5021, 35317, 40960
63, 32, 5021, 35317, 40960
63, 31, 5021, 35317, 40960
63, 31, 5021, 35317, 40960
46, 23, 5021, 35317, 40960
46, 23, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
54, 26, 5021, 35317, 40960
54, 26, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
45, 21, 5021, 35317, 40960
45, 21, 5021, 35317, 40960
63, 32, 5021, 35317, 40960
63, 32, 5021, 35317, 40960
63, 31, 5021, 35317, 40960
63, 31, 5021, 35317, 40960
45, 22, 5021, 35317, 40960
45, 22, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
53, 26, 5021, 35317, 40960
53, 26, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
47, 22, 5021, 35317, 40960
47, 22, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
62, 31, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
65, 32, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
69, 35, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
57, 28, 5021, 35317, 40960
50, 25, 5021, 35317, 40960
50, 25, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
49, 24, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
60, 30, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
66, 33, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
43, 21, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
54, 27, 5021, 35317, 40960
54, 27, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
70, 36, 5021, 35317, 40960
45, 21, 5021, 35317, 40960
45, 21, 5021, 35317, 40960
63, 32, 5021, 35317, 40960
63, 32, 5021, 35317, 40960
63, 31, 5021, 35317, 40960
63, 31, 5021, 35317, 40960
45, 22, 5021, 35317, 40960
45, 22, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
69, 36, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
55, 27, 5021, 35317, 40960
