utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 24, 40315, 40960
0, 0, 29, 40309, 40960
0, 0, 461, 39877, 40960
4, 0, 711, 39627, 40960
4, 0, 797, 39541, 40960
21, 0, 1065, 39273, 40960
21, 0, 1183, 39155, 40960
18, 0, 1483, 38855, 40960
18, 0, 1741, 38597, 40960
18, 0, 1869, 38469, 40960
18, 0, 2127, 38211, 40960
17, 0, 2255, 38083, 40960
17, 0, 2513, 37825, 40960
17, 0, 2641, 37697, 40960
17, 0, 2899, 37439, 40960
18, 0, 3113, 37225, 40960
18, 0, 3285, 37053, 40960
19, 0, 3499, 36839, 40960
19, 0, 3671, 36667, 40960
19, 0, 3799, 36539, 40960
19, 0, 4049, 36289, 40960
17, 0, 4307, 36031, 40960
17, 0, 4521, 35817, 40960
17, 0, 4693, 35645, 40960
17, 0, 4907, 35431, 40960
17, 0, 5079, 35259, 40960
17, 0, 5293, 35045, 40960
17, 0, 5465, 34873, 40960
17, 0, 5679, 34659, 40960
17, 0, 5851, 34487, 40960
17, 0, 6065, 34273, 40960
17, 0, 6333, 34005, 40960
17, 0, 6451, 33887, 40960
17, 0, 6719, 33619, 40960
17, 0, 6837, 33501, 40960
17, 0, 7105, 33233, 40960
17, 0, 7223, 33115, 40960
18, 0, 7523, 32815, 40960
18, 0, 7609, 32729, 40960
18, 0, 7909, 32429, 40960
18, 0, 8167, 32171, 40960
18, 0, 8295, 32043, 40960
18, 0, 8553, 31785, 40960
18, 0, 8681, 31657, 40960
18, 0, 8939, 31399, 40960
19, 0, 9067, 31271, 40960
19, 0, 9325, 31013, 40960
19, 0, 9539, 30799, 40960
19, 0, 9711, 30627, 40960
18, 0, 9925, 30413, 40960
17, 0, 10193, 30145, 40960
17, 0, 10311, 30027, 40960
17, 0, 10579, 29759, 40960
17, 0, 10697, 29641, 40960
19, 0, 10965, 29373, 40960
19, 0, 11083, 29255, 40960
19, 0, 11383, 28955, 40960
19, 0, 11641, 28697, 40960
19, 0, 11769, 28569, 40960
19, 0, 12027, 28311, 40960
18, 0, 12155, 28183, 40960
18, 0, 12413, 27925, 40960
18, 0, 12541, 27797, 40960
18, 0, 12799, 27539, 40960
17, 0, 13013, 27325, 40960
17, 0, 13185, 27153, 40960
19, 2, 15599, 24739, 40960
19, 2, 15751, 24587, 40960
41, 37, 15751, 24587, 40960
41, 37, 15751, 24587, 40960
97, 90, 15751, 24587, 40960
97, 90, 15751, 24587, 40960
97, 94, 15751, 24587, 40960
97, 94, 15751, 24587, 40960
97, 94, 15751, 24587, 40960
97, 94, 15751, 24587, 40960
97, 94, 15751, 24587, 40960
97, 94, 15751, 24587, 40960
97, 93, 15751, 24587, 40960
97, 93, 15751, 24587, 40960
97, 93, 15751, 24587, 40960
97, 93, 15751, 24587, 40960
97, 93, 851, 39487, 40960
