utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40333, 40960
0, 0, 6, 40332, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40333, 40960
0, 0, 24, 40314, 40960
0, 0, 461, 39877, 40960
0, 0, 645, 39693, 40960
16, 0, 871, 39467, 40960
16, 0, 1097, 39241, 40960
19, 0, 1323, 39015, 40960
19, 0, 1557, 38781, 40960
19, 0, 1801, 38537, 40960
19, 0, 2027, 38311, 40960
20, 0, 2229, 38109, 40960
20, 0, 2455, 37883, 40960
19, 0, 2705, 37633, 40960
19, 0, 2907, 37431, 40960
18, 0, 3133, 37205, 40960
18, 0, 3359, 36979, 40960
19, 0, 3585, 36753, 40960
19, 0, 3811, 36527, 40960
19, 0, 4037, 36301, 40960
19, 0, 6269, 34069, 40960
17, 2, 6657, 33681, 40960
17, 2, 6657, 33681, 40960
65, 19, 6657, 33681, 40960
65, 19, 6657, 33681, 40960
96, 58, 6657, 33681, 40960
96, 58, 6657, 33681, 40960
97, 59, 6657, 33681, 40960
97, 59, 6657, 33681, 40960
96, 58, 849, 39489, 40960
96, 58, 848, 39490, 40960
81, 5, 4, 40334, 40960
81, 5, 4, 40334, 40960
11, 0, 4, 40334, 40960
11, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
