utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40333, 40960
0, 0, 7, 40332, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40334, 40960
0, 0, 24, 40314, 40960
4, 0, 461, 39877, 40960
4, 0, 461, 39877, 40960
11, 0, 711, 39627, 40960
11, 0, 1005, 39333, 40960
22, 0, 1199, 39139, 40960
22, 0, 1433, 38905, 40960
18, 0, 1607, 38731, 40960
18, 0, 1841, 38497, 40960
19, 0, 2047, 38291, 40960
19, 0, 2251, 38087, 40960
19, 0, 2481, 37857, 40960
19, 0, 2685, 37653, 40960
19, 0, 2933, 37405, 40960
19, 0, 3137, 37201, 40960
19, 0, 3341, 36997, 40960
19, 0, 3575, 36763, 40960
19, 0, 3779, 36559, 40960
19, 0, 3985, 36353, 40960
18, 0, 4191, 36147, 40960
18, 0, 6659, 33679, 40960
50, 4, 6659, 33679, 40960
50, 4, 6659, 33679, 40960
99, 6, 6659, 33679, 40960
99, 6, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
100, 7, 6659, 33679, 40960
100, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
100, 7, 6659, 33679, 40960
100, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
100, 7, 6659, 33679, 40960
100, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
99, 7, 6659, 33679, 40960
100, 7, 6659, 33679, 40960
100, 7, 859, 39479, 40960
99, 5, 858, 39481, 40960
99, 5, 4, 40334, 40960
38, 1, 4, 40334, 40960
38, 1, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
