utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40333, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40334, 40960
0, 0, 20, 40319, 40960
0, 0, 47, 40291, 40960
2, 0, 9, 40329, 40960
2, 0, 4, 40334, 40960
1, 0, 4, 40334, 40960
1, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
