utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 19, 40358, 40960
0, 0, 13271, 27106, 40960
29, 0, 13271, 27106, 40960
29, 0, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
40, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13271, 27106, 40960
41, 1, 13283, 27094, 40960
12, 0, 13283, 27094, 40960
12, 0, 14537, 25840, 40960
22, 0, 14539, 25838, 40960
22, 0, 14543, 25834, 40960
2, 0, 14547, 25830, 40960
2, 0, 14569, 25808, 40960
2, 0, 14573, 25804, 40960
2, 0, 14577, 25800, 40960
2, 0, 14599, 25778, 40960
2, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14599, 25778, 40960
0, 0, 14639, 25738, 40960
17, 0, 14733, 25644, 40960
17, 0, 14733, 25644, 40960
0, 0, 14733, 25644, 40960
0, 0, 14949, 25428, 40960
6, 0, 14951, 25426, 40960
6, 0, 14951, 25426, 40960
0, 0, 14951, 25426, 40960
0, 0, 14951, 25426, 40960
0, 0, 14953, 25424, 40960
0, 0, 14959, 25418, 40960
30, 22, 14959, 25418, 40960
30, 22, 14959, 25418, 40960
98, 86, 14959, 25418, 40960
98, 86, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
96, 87, 14959, 25418, 40960
96, 87, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
95, 87, 14959, 25418, 40960
95, 87, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
96, 87, 14959, 25418, 40960
96, 87, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
96, 87, 14959, 25418, 40960
96, 87, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
96, 87, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
98, 90, 14959, 25418, 40960
