utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 25, 40352, 40960
14, 0, 4105, 36272, 40960
14, 0, 4105, 36272, 40960
41, 1, 4105, 36272, 40960
41, 1, 4105, 36272, 40960
41, 1, 4105, 36272, 40960
41, 1, 4105, 36272, 40960
41, 1, 4105, 36272, 40960
41, 1, 4105, 36272, 40960
29, 0, 4117, 36260, 40960
29, 0, 4135, 36242, 40960
52, 1, 4397, 35980, 40960
52, 1, 5595, 34782, 40960
100, 3, 5595, 34782, 40960
100, 3, 5597, 34780, 40960
100, 3, 5601, 34776, 40960
100, 3, 5605, 34772, 40960
100, 3, 5627, 34750, 40960
100, 3, 5631, 34746, 40960
100, 3, 5635, 34742, 40960
100, 3, 5657, 34720, 40960
88, 3, 5657, 34720, 40960
88, 3, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
0, 0, 5657, 34720, 40960
11, 0, 5719, 34658, 40960
11, 0, 6009, 34368, 40960
9, 0, 6009, 34368, 40960
9, 0, 6011, 34366, 40960
9, 2, 6017, 34360, 40960
9, 2, 6017, 34360, 40960
78, 52, 6017, 34360, 40960
78, 52, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
95, 64, 6017, 34360, 40960
95, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
94, 60, 6017, 34360, 40960
94, 60, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
94, 60, 6017, 34360, 40960
94, 60, 6017, 34360, 40960
90, 59, 6017, 34360, 40960
90, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 64, 6017, 34360, 40960
95, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
93, 59, 6017, 34360, 40960
93, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
94, 62, 6017, 34360, 40960
94, 62, 6017, 34360, 40960
95, 61, 6017, 34360, 40960
95, 61, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
93, 59, 6017, 34360, 40960
93, 59, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
95, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
94, 61, 6017, 34360, 40960
94, 61, 6017, 34360, 40960
95, 62, 6017, 34360, 40960
95, 62, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
96, 63, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
96, 64, 6017, 34360, 40960
94, 59, 6017, 34360, 40960
