utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
4, 0, 3919, 36458, 40960
4, 0, 3919, 36458, 40960
40, 1, 3919, 36458, 40960
40, 1, 3919, 36458, 40960
40, 1, 3919, 36458, 40960
40, 1, 3919, 36458, 40960
40, 1, 3919, 36458, 40960
40, 1, 3919, 36458, 40960
32, 0, 3921, 36456, 40960
32, 0, 3941, 36436, 40960
43, 1, 3951, 36426, 40960
43, 1, 5409, 34968, 40960
100, 3, 5409, 34968, 40960
100, 3, 5411, 34966, 40960
100, 3, 5415, 34962, 40960
100, 3, 5419, 34958, 40960
100, 3, 5441, 34936, 40960
100, 3, 5445, 34932, 40960
100, 3, 5449, 34928, 40960
100, 3, 5471, 34906, 40960
100, 3, 5471, 34906, 40960
100, 3, 5471, 34906, 40960
9, 0, 5471, 34906, 40960
9, 0, 5471, 34906, 40960
0, 0, 5471, 34906, 40960
0, 0, 5471, 34906, 40960
0, 0, 5471, 34906, 40960
0, 0, 5471, 34906, 40960
0, 0, 5471, 34906, 40960
0, 0, 5471, 34906, 40960
8, 0, 5527, 34850, 40960
8, 0, 5821, 34556, 40960
12, 0, 5823, 34554, 40960
12, 0, 5823, 34554, 40960
8, 2, 5823, 34554, 40960
8, 2, 5823, 34554, 40960
71, 42, 5823, 34554, 40960
71, 42, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 55, 5823, 34554, 40960
94, 55, 5823, 34554, 40960
95, 55, 5823, 34554, 40960
95, 55, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
93, 53, 5823, 34554, 40960
93, 53, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
93, 53, 5823, 34554, 40960
93, 53, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
95, 56, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
95, 57, 5823, 34554, 40960
95, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
94, 53, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
96, 57, 5823, 34554, 40960
