utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
2, 0, 7097, 33280, 40960
2, 0, 7097, 33280, 40960
36, 0, 7097, 33280, 40960
36, 0, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
40, 1, 7097, 33280, 40960
40, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7109, 33268, 40960
19, 0, 7127, 33250, 40960
19, 0, 7409, 32968, 40960
81, 2, 7409, 32968, 40960
81, 2, 8331, 32046, 40960
100, 3, 8331, 32046, 40960
100, 3, 8333, 32044, 40960
100, 3, 8337, 32040, 40960
100, 3, 8341, 32036, 40960
100, 3, 8361, 32016, 40960
100, 3, 8367, 32010, 40960
100, 3, 8369, 32008, 40960
100, 3, 8373, 32004, 40960
100, 3, 8393, 31984, 40960
100, 3, 8393, 31984, 40960
0, 0, 8393, 31984, 40960
0, 0, 8393, 31984, 40960
0, 0, 8393, 31984, 40960
0, 0, 8393, 31984, 40960
0, 0, 8393, 31984, 40960
0, 0, 8393, 31984, 40960
0, 0, 8393, 31984, 40960
0, 0, 8415, 31962, 40960
10, 0, 8527, 31850, 40960
10, 0, 8745, 31632, 40960
10, 0, 8745, 31632, 40960
10, 0, 8753, 31624, 40960
10, 5, 8753, 31624, 40960
10, 5, 8753, 31624, 40960
96, 80, 8753, 31624, 40960
96, 80, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
94, 77, 8753, 31624, 40960
94, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
94, 77, 8753, 31624, 40960
94, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
93, 76, 8753, 31624, 40960
93, 76, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
96, 80, 8753, 31624, 40960
96, 80, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
96, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
95, 77, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
97, 81, 8753, 31624, 40960
