utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 7097, 33280, 40960
17, 0, 7097, 33280, 40960
17, 0, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
41, 1, 7097, 33280, 40960
36, 0, 7099, 33278, 40960
36, 0, 7099, 33278, 40960
12, 0, 7109, 33268, 40960
12, 0, 7401, 32976, 40960
66, 2, 7127, 33250, 40960
100, 3, 14723, 25654, 40960
100, 3, 14739, 25638, 40960
100, 3, 14739, 25638, 40960
100, 3, 14739, 25638, 40960
100, 3, 14779, 25598, 40960
100, 3, 14799, 25578, 40960
16, 1, 14799, 25578, 40960
16, 1, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
0, 0, 14799, 25578, 40960
5, 0, 14821, 25556, 40960
5, 0, 14933, 25444, 40960
15, 0, 15149, 25228, 40960
15, 0, 15149, 25228, 40960
0, 0, 15149, 25228, 40960
0, 0, 15149, 25228, 40960
1, 0, 15153, 25224, 40960
1, 0, 15153, 25224, 40960
0, 0, 15157, 25220, 40960
0, 0, 15159, 25218, 40960
7, 3, 15159, 25218, 40960
7, 3, 15159, 25218, 40960
82, 55, 15159, 25218, 40960
82, 55, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
96, 71, 15159, 25218, 40960
96, 71, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
95, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
96, 70, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
97, 72, 15159, 25218, 40960
