utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
24, 1, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 417, 39960, 40960
2, 0, 417, 39960, 40960
2, 0, 417, 39960, 40960
0, 0, 427, 39950, 40960
0, 0, 443, 39934, 40960
5, 0, 457, 39920, 40960
5, 0, 467, 39910, 40960
10, 0, 479, 39898, 40960
10, 0, 491, 39886, 40960
6, 0, 505, 39872, 40960
6, 0, 517, 39860, 40960
5, 0, 531, 39846, 40960
5, 0, 543, 39834, 40960
5, 0, 555, 39822, 40960
5, 0, 565, 39812, 40960
5, 0, 577, 39800, 40960
5, 0, 589, 39788, 40960
5, 0, 601, 39776, 40960
5, 0, 613, 39764, 40960
5, 0, 625, 39752, 40960
5, 0, 639, 39738, 40960
5, 0, 655, 39722, 40960
5, 0, 665, 39712, 40960
5, 0, 679, 39698, 40960
5, 0, 693, 39684, 40960
4, 0, 707, 39670, 40960
4, 0, 721, 39656, 40960
4, 0, 735, 39642, 40960
4, 0, 747, 39630, 40960
5, 0, 761, 39616, 40960
5, 0, 767, 39610, 40960
3, 0, 1341, 39036, 40960
3, 0, 1343, 39034, 40960
24, 2, 1343, 39034, 40960
24, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
19, 1, 1343, 39034, 40960
19, 1, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 1, 1343, 39034, 40960
20, 1, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
19, 2, 1343, 39034, 40960
19, 2, 1343, 39034, 40960
19, 1, 1343, 39034, 40960
19, 1, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
19, 2, 1343, 39034, 40960
19, 1, 1343, 39034, 40960
19, 1, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
20, 2, 1343, 39034, 40960
19, 1, 1343, 39034, 40960
