utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40315, 40960
0, 0, 31, 40307, 40960
7, 0, 741, 39597, 40960
7, 0, 1195, 39143, 40960
39, 0, 1671, 38667, 40960
39, 0, 2059, 38279, 40960
39, 0, 2533, 37805, 40960
39, 0, 3007, 37331, 40960
38, 0, 3395, 36943, 40960
38, 0, 3815, 36523, 40960
38, 0, 4235, 36103, 40960
38, 0, 4687, 35651, 40960
38, 0, 5163, 35175, 40960
38, 0, 5551, 34787, 40960
38, 0, 6025, 34313, 40960
38, 0, 6413, 33925, 40960
38, 0, 6887, 33451, 40960
38, 0, 7275, 33063, 40960
38, 0, 7695, 32643, 40960
38, 0, 8147, 32191, 40960
38, 0, 8567, 31771, 40960
38, 0, 9043, 31295, 40960
39, 0, 9517, 30821, 40960
39, 0, 9905, 30433, 40960
38, 0, 10293, 30045, 40960
38, 0, 10767, 29571, 40960
38, 0, 11187, 29151, 40960
38, 0, 11607, 28731, 40960
38, 0, 12059, 28279, 40960
38, 0, 12535, 27803, 40960
39, 0, 12923, 27415, 40960
39, 0, 13345, 26993, 40960
33, 0, 13345, 26993, 40960
33, 0, 13347, 26991, 40960
3, 0, 13421, 26917, 40960
3, 0, 13421, 26917, 40960
3, 0, 13421, 26917, 40960
3, 0, 13421, 26917, 40960
0, 0, 13421, 26917, 40960
0, 0, 13421, 26917, 40960
0, 0, 13581, 26757, 40960
0, 0, 13595, 26743, 40960
3, 0, 15457, 24881, 40960
3, 0, 17411, 22927, 40960
74, 28, 17411, 22927, 40960
74, 28, 17411, 22927, 40960
91, 42, 17413, 22925, 40960
91, 42, 17433, 22905, 40960
1, 0, 17029, 23309, 40960
1, 0, 17029, 23309, 40960
13, 1, 17029, 23309, 40960
13, 1, 17029, 23309, 40960
0, 0, 17029, 23309, 40960
