utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40333, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
1, 0, 89, 40249, 40960
1, 0, 807, 39531, 40960
35, 0, 1283, 39055, 40960
35, 0, 1671, 38667, 40960
39, 0, 2145, 38193, 40960
39, 0, 2619, 37719, 40960
39, 1, 3007, 37331, 40960
39, 1, 3459, 36879, 40960
39, 0, 3911, 36427, 40960
39, 0, 4387, 35951, 40960
39, 0, 4775, 35563, 40960
39, 0, 5249, 35089, 40960
38, 0, 5723, 34615, 40960
38, 0, 6111, 34227, 40960
39, 0, 6531, 33807, 40960
39, 0, 6983, 33355, 40960
38, 0, 7403, 32935, 40960
38, 0, 7879, 32459, 40960
38, 0, 8267, 32071, 40960
38, 0, 8741, 31597, 40960
38, 0, 9215, 31123, 40960
38, 0, 9603, 30735, 40960
39, 0, 10023, 30315, 40960
39, 0, 10443, 29895, 40960
38, 0, 10895, 29443, 40960
38, 0, 11371, 28967, 40960
38, 0, 11759, 28579, 40960
38, 0, 12233, 28105, 40960
38, 0, 12621, 27717, 40960
38, 0, 13095, 27243, 40960
38, 0, 13345, 26993, 40960
38, 0, 13345, 26993, 40960
0, 0, 13345, 26993, 40960
0, 0, 13421, 26917, 40960
6, 0, 13421, 26917, 40960
6, 0, 13421, 26917, 40960
0, 0, 13421, 26917, 40960
0, 0, 13581, 26757, 40960
2, 0, 13593, 26745, 40960
2, 0, 14081, 26257, 40960
38, 14, 16575, 23763, 40960
38, 14, 17411, 22927, 40960
100, 38, 17411, 22927, 40960
100, 38, 17411, 22927, 40960
45, 18, 17433, 22905, 40960
45, 18, 17027, 23311, 40960
12, 1, 17029, 23309, 40960
12, 1, 17029, 23309, 40960
2, 0, 17029, 23309, 40960
2, 0, 17029, 23309, 40960
0, 0, 17029, 23309, 40960
0, 0, 17029, 23309, 40960
