utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40315, 40960
0, 0, 31, 40307, 40960
10, 0, 773, 39565, 40960
10, 0, 1195, 39143, 40960
38, 0, 1671, 38667, 40960
38, 0, 2059, 38279, 40960
38, 0, 2533, 37805, 40960
38, 0, 2921, 37417, 40960
38, 0, 3395, 36943, 40960
38, 0, 3815, 36523, 40960
39, 0, 4235, 36103, 40960
39, 0, 4687, 35651, 40960
38, 0, 5163, 35175, 40960
38, 0, 5551, 34787, 40960
38, 0, 6025, 34313, 40960
38, 0, 6413, 33925, 40960
38, 0, 6887, 33451, 40960
38, 0, 7275, 33063, 40960
38, 0, 7727, 32611, 40960
38, 0, 8147, 32191, 40960
39, 0, 8655, 31683, 40960
39, 0, 9043, 31295, 40960
39, 0, 9517, 30821, 40960
39, 0, 9905, 30433, 40960
38, 0, 10379, 29959, 40960
38, 0, 10799, 29539, 40960
39, 0, 11219, 29119, 40960
39, 0, 11671, 28667, 40960
39, 0, 12147, 28191, 40960
39, 0, 12621, 27717, 40960
39, 0, 13009, 27329, 40960
39, 0, 13345, 26993, 40960
27, 0, 13345, 26993, 40960
27, 0, 13345, 26993, 40960
6, 0, 13421, 26917, 40960
6, 0, 13421, 26917, 40960
0, 0, 13421, 26917, 40960
0, 0, 13421, 26917, 40960
0, 0, 13421, 26917, 40960
0, 0, 13581, 26757, 40960
2, 0, 13629, 26709, 40960
2, 0, 16231, 24107, 40960
53, 19, 17411, 22927, 40960
53, 19, 17411, 22927, 40960
100, 47, 17411, 22927, 40960
100, 47, 17433, 22905, 40960
10, 4, 17027, 23311, 40960
10, 4, 17029, 23309, 40960
13, 1, 17029, 23309, 40960
13, 1, 17029, 23309, 40960
0, 0, 17029, 23309, 40960
0, 0, 17029, 23309, 40960
0, 0, 17029, 23309, 40960
