utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 5, 40333, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
0, 0, 427, 39911, 40960
0, 0, 895, 39443, 40960
29, 0, 1283, 39055, 40960
29, 0, 1757, 38581, 40960
39, 0, 2145, 38193, 40960
39, 0, 2619, 37719, 40960
39, 0, 3039, 37299, 40960
39, 0, 3459, 36879, 40960
39, 0, 3879, 36459, 40960
39, 0, 4387, 35951, 40960
39, 0, 4775, 35563, 40960
39, 0, 5249, 35089, 40960
39, 0, 5637, 34701, 40960
39, 0, 6111, 34227, 40960
39, 0, 6531, 33807, 40960
39, 0, 6951, 33387, 40960
38, 0, 7403, 32935, 40960
38, 0, 7879, 32459, 40960
38, 0, 8267, 32071, 40960
38, 0, 8655, 31683, 40960
37, 0, 9129, 31209, 40960
37, 0, 9517, 30821, 40960
38, 0, 9991, 30347, 40960
38, 0, 10379, 29959, 40960
38, 0, 10799, 29539, 40960
38, 0, 11251, 29087, 40960
37, 0, 11671, 28667, 40960
37, 0, 12147, 28191, 40960
38, 0, 12535, 27803, 40960
38, 0, 12923, 27415, 40960
37, 0, 13345, 26993, 40960
37, 0, 13345, 26993, 40960
16, 0, 13345, 26993, 40960
16, 0, 13421, 26917, 40960
6, 0, 13421, 26917, 40960
6, 0, 13421, 26917, 40960
0, 0, 13421, 26917, 40960
0, 0, 13581, 26757, 40960
2, 0, 13593, 26745, 40960
2, 0, 14253, 26085, 40960
13, 4, 16575, 23763, 40960
13, 4, 17411, 22927, 40960
100, 38, 17411, 22927, 40960
100, 38, 17413, 22925, 40960
61, 28, 17433, 22905, 40960
61, 28, 17027, 23311, 40960
9, 0, 17029, 23309, 40960
9, 0, 17029, 23309, 40960
4, 1, 17029, 23309, 40960
