utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40315, 40960
0, 0, 31, 40307, 40960
0, 0, 699, 39639, 40960
19, 0, 1057, 39281, 40960
19, 0, 1393, 38945, 40960
28, 0, 1773, 38565, 40960
28, 0, 2133, 38205, 40960
30, 0, 2489, 37849, 40960
30, 0, 2847, 37491, 40960
29, 0, 3207, 37131, 40960
29, 0, 3565, 36773, 40960
29, 0, 3925, 36413, 40960
29, 0, 4511, 35827, 40960
30, 0, 4511, 35827, 40960
30, 0, 4511, 35827, 40960
6, 0, 4511, 35827, 40960
6, 0, 4511, 35827, 40960
0, 0, 4511, 35827, 40960
0, 0, 4587, 35751, 40960
6, 0, 4587, 35751, 40960
6, 0, 4587, 35751, 40960
0, 0, 4587, 35751, 40960
0, 0, 4747, 35591, 40960
2, 0, 5949, 34389, 40960
2, 0, 7325, 33013, 40960
69, 13, 8013, 32325, 40960
69, 13, 8013, 32325, 40960
100, 23, 8013, 32325, 40960
100, 23, 8013, 32325, 40960
100, 25, 8013, 32325, 40960
100, 25, 8013, 32325, 40960
100, 24, 8013, 32325, 40960
100, 24, 8013, 32325, 40960
100, 24, 8025, 32313, 40960
100, 24, 8031, 32307, 40960
34, 9, 8051, 32287, 40960
34, 9, 8027, 32311, 40960
2, 0, 8029, 32309, 40960
2, 0, 8029, 32309, 40960
5, 1, 8029, 32309, 40960
5, 1, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
0, 0, 8029, 32309, 40960
