utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 15, 40362, 40960
0, 0, 25, 40352, 40960
0, 0, 439, 39938, 40960
3, 0, 439, 39938, 40960
3, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 475, 39902, 40960
0, 0, 575, 39802, 40960
22, 0, 575, 39802, 40960
22, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 943, 39434, 40960
6, 0, 4429, 35948, 40960
6, 0, 4429, 35948, 40960
24, 0, 4451, 35926, 40960
24, 0, 4451, 35926, 40960
31, 1, 4451, 35926, 40960
31, 1, 4451, 35926, 40960
31, 1, 4451, 35926, 40960
31, 1, 4451, 35926, 40960
31, 1, 4451, 35926, 40960
31, 1, 4451, 35926, 40960
30, 1, 4451, 35926, 40960
30, 1, 4451, 35926, 40960
30, 1, 4461, 35916, 40960
30, 1, 4461, 35916, 40960
0, 0, 4461, 35916, 40960
0, 0, 4461, 35916, 40960
0, 0, 6733, 33644, 40960
68, 10, 6733, 33644, 40960
68, 10, 6733, 33644, 40960
100, 20, 6733, 33644, 40960
100, 20, 6733, 33644, 40960
100, 20, 6733, 33644, 40960
100, 20, 6733, 33644, 40960
100, 21, 6733, 33644, 40960
100, 21, 6733, 33644, 40960
100, 20, 6741, 33636, 40960
100, 20, 6747, 33630, 40960
23, 2, 34173, 6204, 40960
23, 2, 34173, 6204, 40960
12, 0, 34173, 6204, 40960
12, 0, 34173, 6204, 40960
1, 0, 34175, 6202, 40960
1, 0, 34175, 6202, 40960
1, 0, 34175, 6202, 40960
1, 0, 34175, 6202, 40960
1, 0, 34177, 6200, 40960
1, 0, 34177, 6200, 40960
1, 0, 34177, 6200, 40960
1, 0, 34177, 6200, 40960
1, 0, 34179, 6198, 40960
1, 0, 34179, 6198, 40960
1, 0, 34179, 6198, 40960
1, 0, 34179, 6198, 40960
1, 0, 34179, 6198, 40960
1, 0, 34181, 6196, 40960
2, 0, 34315, 6062, 40960
2, 0, 34315, 6062, 40960
62, 10, 34499, 5878, 40960
62, 10, 34525, 5852, 40960
47, 9, 34525, 5852, 40960
47, 9, 34547, 5830, 40960
41, 8, 34573, 5804, 40960
41, 8, 34599, 5778, 40960
49, 10, 34483, 5894, 40960
49, 10, 34623, 5754, 40960
50, 10, 34647, 5730, 40960
50, 10, 34671, 5706, 40960
31, 6, 34697, 5680, 40960
31, 6, 34721, 5656, 40960
48, 9, 34721, 5656, 40960
48, 9, 34747, 5630, 40960
40, 8, 34769, 5608, 40960
40, 8, 34797, 5580, 40960
30, 6, 34821, 5556, 40960
30, 6, 34847, 5530, 40960
35, 7, 34875, 5502, 40960
35, 7, 34807, 5570, 40960
35, 7, 34909, 5468, 40960
35, 7, 34933, 5444, 40960
32, 7, 34959, 5418, 40960
32, 7, 34985, 5392, 40960
22, 4, 34993, 5384, 40960
22, 4, 35019, 5358, 40960
29, 7, 35047, 5330, 40960
29, 7, 35071, 5306, 40960
19, 5, 35077, 5300, 40960
19, 5, 35139, 5238, 40960
15, 4, 35167, 5210, 40960
15, 4, 35197, 5180, 40960
16, 5, 35225, 5152, 40960
16, 5, 35285, 5092, 40960
10, 3, 35319, 5058, 40960
10, 3, 35349, 5028, 40960
17, 5, 35383, 4994, 40960
17, 5, 35383, 4994, 40960
92, 31, 35383, 4994, 40960
92, 31, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
91, 36, 35383, 4994, 40960
37, 15, 35383, 4994, 40960
37, 15, 35383, 4994, 40960
0, 0, 35383, 4994, 40960
0, 0, 35383, 4994, 40960
0, 0, 35383, 4994, 40960
0, 0, 35383, 4994, 40960
0, 0, 35319, 5058, 40960
0, 0, 35319, 5058, 40960
1, 0, 35319, 5058, 40960
1, 0, 35319, 5058, 40960
0, 0, 35310, 5067, 40960
0, 0, 35308, 5069, 40960
3, 0, 35308, 5069, 40960
100, 3, 0, 40377, 40960
