utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40376, 40960
0, 0, 15, 40362, 40960
0, 0, 25, 40352, 40960
2, 0, 439, 39938, 40960
2, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 485, 39892, 40960
17, 0, 575, 39802, 40960
17, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
6, 0, 1027, 39350, 40960
6, 0, 13523, 26854, 40960
22, 0, 13523, 26854, 40960
22, 0, 13523, 26854, 40960
36, 0, 13523, 26854, 40960
36, 0, 13523, 26854, 40960
35, 0, 13523, 26854, 40960
35, 0, 13523, 26854, 40960
35, 0, 13523, 26854, 40960
35, 0, 13523, 26854, 40960
35, 0, 13523, 26854, 40960
35, 0, 13523, 26854, 40960
31, 0, 13523, 26854, 40960
31, 0, 13523, 26854, 40960
30, 0, 13523, 26854, 40960
30, 0, 13523, 26854, 40960
31, 0, 13523, 26854, 40960
31, 0, 13523, 26854, 40960
31, 0, 13523, 26854, 40960
31, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
10, 0, 13523, 26854, 40960
10, 0, 13523, 26854, 40960
30, 0, 13523, 26854, 40960
30, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
33, 0, 13523, 26854, 40960
18, 0, 13533, 26844, 40960
18, 0, 13533, 26844, 40960
0, 0, 13533, 26844, 40960
0, 0, 13533, 26844, 40960
0, 0, 13533, 26844, 40960
0, 0, 13533, 26844, 40960
2, 0, 13761, 26616, 40960
2, 0, 13933, 26444, 40960
81, 23, 13933, 26444, 40960
81, 23, 13933, 26444, 40960
56, 20, 35937, 4440, 40960
56, 20, 35937, 4440, 40960
5, 0, 35937, 4440, 40960
5, 0, 35939, 4438, 40960
1, 0, 35939, 4438, 40960
1, 0, 35939, 4438, 40960
1, 0, 35939, 4438, 40960
1, 0, 35939, 4438, 40960
1, 0, 35941, 4436, 40960
1, 0, 35941, 4436, 40960
1, 0, 35941, 4436, 40960
1, 0, 35941, 4436, 40960
1, 0, 35943, 4434, 40960
1, 0, 35943, 4434, 40960
1, 0, 35943, 4434, 40960
1, 0, 35943, 4434, 40960
1, 0, 35943, 4434, 40960
1, 0, 35945, 4432, 40960
1, 0, 35965, 4412, 40960
1, 0, 36029, 4348, 40960
26, 13, 36049, 4328, 40960
26, 13, 36071, 4306, 40960
27, 12, 36091, 4286, 40960
27, 12, 36133, 4244, 40960
26, 12, 36153, 4224, 40960
26, 12, 36173, 4204, 40960
26, 12, 36195, 4182, 40960
26, 12, 36215, 4162, 40960
24, 12, 36235, 4142, 40960
24, 12, 36257, 4120, 40960
32, 17, 36277, 4100, 40960
32, 17, 36297, 4080, 40960
23, 13, 36319, 4058, 40960
23, 13, 36321, 4056, 40960
26, 16, 36347, 4030, 40960
26, 16, 36395, 3982, 40960
17, 12, 36417, 3960, 40960
17, 12, 36439, 3938, 40960
17, 11, 36459, 3918, 40960
17, 11, 36483, 3894, 40960
20, 14, 36499, 3878, 40960
20, 14, 36521, 3856, 40960
17, 13, 36565, 3812, 40960
17, 13, 36593, 3784, 40960
13, 11, 36615, 3762, 40960
13, 11, 36637, 3740, 40960
13, 11, 36659, 3718, 40960
13, 11, 36681, 3696, 40960
12, 10, 36703, 3674, 40960
12, 10, 36727, 3650, 40960
15, 13, 36773, 3604, 40960
15, 13, 36777, 3600, 40960
59, 50, 36777, 3600, 40960
59, 50, 36777, 3600, 40960
93, 85, 36777, 3600, 40960
93, 85, 36777, 3600, 40960
94, 86, 36777, 3600, 40960
94, 86, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
94, 85, 36777, 3600, 40960
44, 39, 36777, 3600, 40960
44, 39, 36777, 3600, 40960
0, 0, 36777, 3600, 40960
0, 0, 36777, 3600, 40960
0, 0, 36777, 3600, 40960
0, 0, 36777, 3600, 40960
0, 0, 36713, 3664, 40960
0, 0, 36713, 3664, 40960
1, 0, 36713, 3664, 40960
1, 0, 36713, 3664, 40960
0, 0, 36702, 3675, 40960
0, 0, 36702, 3675, 40960
3, 0, 36702, 3675, 40960
100, 3, 0, 40377, 40960
