utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 439, 39938, 40960
3, 0, 439, 39938, 40960
3, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 459, 39918, 40960
0, 0, 575, 39802, 40960
17, 0, 575, 39802, 40960
17, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 943, 39434, 40960
6, 0, 1831, 38546, 40960
6, 0, 3565, 36812, 40960
1, 0, 4431, 35946, 40960
1, 0, 4453, 35924, 40960
27, 0, 4453, 35924, 40960
27, 0, 4453, 35924, 40960
29, 1, 4453, 35924, 40960
29, 1, 4453, 35924, 40960
29, 1, 4453, 35924, 40960
29, 1, 4453, 35924, 40960
30, 1, 4453, 35924, 40960
30, 1, 4453, 35924, 40960
30, 1, 4453, 35924, 40960
30, 1, 4453, 35924, 40960
24, 1, 4463, 35914, 40960
24, 1, 4463, 35914, 40960
0, 0, 4463, 35914, 40960
0, 0, 4463, 35914, 40960
0, 0, 4717, 35660, 40960
0, 0, 5061, 35316, 40960
52, 14, 5061, 35316, 40960
52, 14, 5061, 35316, 40960
98, 35, 5069, 35308, 40960
11, 1, 35829, 4548, 40960
11, 1, 35829, 4548, 40960
1, 0, 35829, 4548, 40960
1, 0, 35831, 4546, 40960
1, 0, 35831, 4546, 40960
1, 0, 35831, 4546, 40960
1, 0, 35831, 4546, 40960
1, 0, 35831, 4546, 40960
1, 0, 35833, 4544, 40960
1, 0, 35833, 4544, 40960
1, 0, 35833, 4544, 40960
1, 0, 35833, 4544, 40960
1, 0, 35835, 4542, 40960
1, 0, 35835, 4542, 40960
1, 0, 35835, 4542, 40960
1, 0, 35835, 4542, 40960
1, 0, 35835, 4542, 40960
1, 0, 35837, 4540, 40960
14, 8, 36105, 4272, 40960
14, 8, 36425, 3952, 40960
36, 17, 36455, 3922, 40960
36, 17, 36483, 3894, 40960
46, 25, 36387, 3990, 40960
46, 25, 36513, 3864, 40960
44, 25, 36541, 3836, 40960
44, 25, 36571, 3806, 40960
28, 15, 36599, 3778, 40960
28, 15, 36629, 3748, 40960
39, 25, 36657, 3720, 40960
39, 25, 36687, 3690, 40960
38, 24, 36715, 3662, 40960
38, 24, 36745, 3632, 40960
36, 26, 36773, 3604, 40960
36, 26, 36505, 3872, 40960
39, 25, 36803, 3574, 40960
39, 25, 36833, 3544, 40960
34, 22, 36869, 3508, 40960
34, 22, 36903, 3474, 40960
32, 20, 36937, 3440, 40960
32, 20, 36967, 3410, 40960
30, 19, 37001, 3376, 40960
30, 19, 37031, 3346, 40960
36, 24, 37063, 3314, 40960
36, 24, 37095, 3282, 40960
33, 24, 37127, 3250, 40960
33, 24, 37155, 3222, 40960
36, 24, 37187, 3190, 40960
36, 24, 37207, 3170, 40960
42, 3, 36961, 3416, 40960
42, 3, 37249, 3128, 40960
29, 3, 37271, 3106, 40960
29, 3, 37293, 3084, 40960
26, 5, 37315, 3062, 40960
26, 5, 37363, 3014, 40960
13, 3, 37387, 2990, 40960
13, 3, 37387, 2990, 40960
82, 44, 37387, 2990, 40960
82, 44, 37387, 2990, 40960
87, 54, 37387, 2990, 40960
87, 54, 37387, 2990, 40960
87, 53, 37387, 2990, 40960
87, 53, 37387, 2990, 40960
66, 40, 37387, 2990, 40960
66, 40, 37387, 2990, 40960
0, 0, 37387, 2990, 40960
0, 0, 37387, 2990, 40960
0, 0, 37387, 2990, 40960
0, 0, 37387, 2990, 40960
0, 0, 37387, 2990, 40960
0, 0, 37323, 3054, 40960
1, 0, 37323, 3054, 40960
1, 0, 37323, 3054, 40960
0, 0, 37323, 3054, 40960
0, 0, 37312, 3065, 40960
4, 0, 37312, 3065, 40960
4, 0, 37312, 3065, 40960
100, 3, 0, 40377, 40960
