utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40376, 40960
0, 0, 15, 40362, 40960
0, 0, 439, 39938, 40960
3, 0, 439, 39938, 40960
3, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 439, 39938, 40960
0, 0, 443, 39934, 40960
0, 0, 507, 39870, 40960
16, 0, 575, 39802, 40960
1, 0, 575, 39802, 40960
1, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 575, 39802, 40960
0, 0, 2317, 38060, 40960
6, 0, 4391, 35986, 40960
6, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
0, 0, 4391, 35986, 40960
24, 0, 4433, 35944, 40960
24, 0, 4433, 35944, 40960
37, 1, 4433, 35944, 40960
37, 1, 4433, 35944, 40960
38, 1, 4433, 35944, 40960
38, 1, 4433, 35944, 40960
38, 1, 4433, 35944, 40960
38, 1, 4433, 35944, 40960
27, 1, 4433, 35944, 40960
27, 1, 4423, 35954, 40960
1, 0, 4423, 35954, 40960
1, 0, 4423, 35954, 40960
0, 0, 4423, 35954, 40960
0, 0, 4551, 35826, 40960
64, 1, 4789, 35588, 40960
64, 1, 4789, 35588, 40960
99, 1, 4789, 35588, 40960
99, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 1, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
100, 2, 4789, 35588, 40960
