utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
1, 0, 0, 40377, 40960
1, 0, 0, 40377, 40960
85, 3, 0, 40377, 40960
85, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
92, 3, 0, 40377, 40960
92, 3, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 19, 40358, 40960
0, 0, 523, 39854, 40960
21, 0, 553, 39824, 40960
21, 0, 593, 39784, 40960
5, 0, 631, 39746, 40960
5, 0, 671, 39706, 40960
5, 0, 713, 39664, 40960
5, 0, 753, 39624, 40960
5, 0, 789, 39588, 40960
5, 0, 829, 39548, 40960
5, 0, 863, 39514, 40960
5, 0, 1127, 39250, 40960
20, 0, 1387, 38990, 40960
20, 0, 1773, 38604, 40960
33, 0, 2159, 38218, 40960
33, 0, 2545, 37832, 40960
34, 0, 2931, 37446, 40960
34, 0, 3317, 37060, 40960
34, 0, 3703, 36674, 40960
34, 0, 4089, 36288, 40960
33, 0, 4475, 35902, 40960
33, 0, 4861, 35516, 40960
34, 0, 5247, 35130, 40960
34, 0, 5633, 34744, 40960
34, 0, 6019, 34358, 40960
34, 0, 6405, 33972, 40960
33, 0, 6705, 33672, 40960
33, 0, 7091, 33286, 40960
34, 0, 7477, 32900, 40960
34, 0, 7863, 32514, 40960
34, 0, 8249, 32128, 40960
34, 0, 8635, 31742, 40960
33, 0, 9021, 31356, 40960
33, 0, 9407, 30970, 40960
34, 0, 9793, 30584, 40960
34, 0, 10179, 30198, 40960
34, 0, 10393, 29984, 40960
34, 0, 10393, 29984, 40960
0, 0, 10393, 29984, 40960
0, 0, 10815, 29562, 40960
26, 0, 11201, 29176, 40960
26, 0, 11501, 28876, 40960
33, 0, 11887, 28490, 40960
33, 0, 12273, 28104, 40960
33, 0, 12659, 27718, 40960
33, 0, 13045, 27332, 40960
33, 0, 13431, 26946, 40960
33, 0, 13731, 26646, 40960
22, 0, 13731, 26646, 40960
22, 0, 13795, 26582, 40960
3, 0, 13795, 26582, 40960
3, 0, 13795, 26582, 40960
0, 0, 13837, 26540, 40960
0, 0, 13857, 26520, 40960
3, 0, 13877, 26500, 40960
3, 0, 13895, 26482, 40960
2, 0, 13921, 26456, 40960
2, 0, 13949, 26428, 40960
3, 0, 13975, 26402, 40960
3, 0, 13999, 26378, 40960
3, 0, 14027, 26350, 40960
3, 0, 14049, 26328, 40960
3, 0, 14073, 26304, 40960
3, 0, 14103, 26274, 40960
3, 0, 14131, 26246, 40960
3, 0, 14153, 26224, 40960
3, 0, 14177, 26200, 40960
3, 0, 14489, 25888, 40960
38, 11, 15513, 24864, 40960
38, 11, 15593, 24784, 40960
67, 35, 15593, 24784, 40960
67, 35, 15593, 24784, 40960
63, 38, 15613, 24764, 40960
63, 38, 15613, 24764, 40960
63, 39, 15613, 24764, 40960
63, 39, 15973, 24404, 40960
64, 38, 16053, 24324, 40960
64, 38, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
66, 40, 16053, 24324, 40960
66, 40, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
65, 40, 16053, 24324, 40960
65, 40, 16053, 24324, 40960
65, 39, 16053, 24324, 40960
65, 39, 16053, 24324, 40960
65, 40, 16053, 24324, 40960
65, 40, 16073, 24304, 40960
66, 40, 16073, 24304, 40960
66, 40, 16073, 24304, 40960
67, 40, 16073, 24304, 40960
67, 40, 16073, 24304, 40960
68, 41, 16073, 24304, 40960
68, 41, 16073, 24304, 40960
68, 41, 16073, 24304, 40960
68, 41, 16073, 24304, 40960
68, 41, 16073, 24304, 40960
68, 41, 16293, 24084, 40960
67, 40, 16293, 24084, 40960
67, 40, 16293, 24084, 40960
66, 40, 16293, 24084, 40960
66, 40, 16313, 24064, 40960
68, 41, 16313, 24064, 40960
68, 41, 16333, 24044, 40960
68, 41, 16333, 24044, 40960
68, 41, 16333, 24044, 40960
67, 40, 16517, 23860, 40960
67, 40, 17321, 23056, 40960
80, 38, 17441, 22936, 40960
80, 38, 17441, 22936, 40960
69, 42, 17441, 22936, 40960
69, 42, 18071, 22306, 40960
61, 37, 18351, 22026, 40960
61, 37, 18351, 22026, 40960
68, 41, 18365, 22012, 40960
68, 41, 18365, 22012, 40960
67, 40, 18365, 22012, 40960
67, 40, 18365, 22012, 40960
69, 41, 18365, 22012, 40960
69, 41, 18365, 22012, 40960
70, 42, 18365, 22012, 40960
70, 42, 18365, 22012, 40960
71, 43, 18365, 22012, 40960
71, 43, 18379, 21998, 40960
71, 43, 18379, 21998, 40960
71, 43, 18379, 21998, 40960
71, 43, 18393, 21984, 40960
71, 43, 18393, 21984, 40960
72, 44, 18393, 21984, 40960
72, 44, 18393, 21984, 40960
72, 44, 18393, 21984, 40960
72, 44, 18393, 21984, 40960
71, 43, 19481, 20896, 40960
71, 43, 19497, 20880, 40960
66, 40, 19497, 20880, 40960
66, 40, 19497, 20880, 40960
70, 43, 19497, 20880, 40960
70, 43, 19497, 20880, 40960
71, 43, 19497, 20880, 40960
71, 43, 19497, 20880, 40960
71, 43, 19497, 20880, 40960
71, 43, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
72, 44, 19513, 20864, 40960
72, 44, 19513, 20864, 40960
73, 44, 19513, 20864, 40960
73, 44, 19513, 20864, 40960
69, 39, 19513, 20864, 40960
69, 39, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
60, 38, 19513, 20864, 40960
60, 38, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
63, 35, 19513, 20864, 40960
63, 35, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
56, 35, 19513, 20864, 40960
56, 35, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
61, 38, 19513, 20864, 40960
60, 36, 19513, 20864, 40960
60, 36, 19513, 20864, 40960
59, 36, 19513, 20864, 40960
59, 36, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
59, 36, 19513, 20864, 40960
59, 36, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
63, 38, 19513, 20864, 40960
64, 39, 19513, 20864, 40960
64, 39, 19513, 20864, 40960
77, 38, 19513, 20864, 40960
77, 38, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
67, 41, 19513, 20864, 40960
67, 41, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
68, 41, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
66, 40, 19513, 20864, 40960
66, 40, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
68, 42, 19513, 20864, 40960
