utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
1, 0, 0, 40377, 40960
1, 0, 0, 40377, 40960
81, 3, 0, 40377, 40960
81, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
97, 3, 0, 40377, 40960
97, 3, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
3, 0, 493, 39884, 40960
3, 0, 533, 39844, 40960
21, 0, 569, 39808, 40960
21, 0, 609, 39768, 40960
5, 0, 643, 39734, 40960
5, 0, 683, 39694, 40960
5, 0, 733, 39644, 40960
5, 0, 763, 39614, 40960
5, 0, 803, 39574, 40960
5, 0, 841, 39536, 40960
5, 0, 877, 39500, 40960
5, 0, 1377, 39000, 40960
24, 0, 1511, 38866, 40960
24, 0, 1841, 38536, 40960
26, 0, 2171, 38206, 40960
26, 0, 2501, 37876, 40960
27, 0, 2807, 37570, 40960
27, 0, 3137, 37240, 40960
26, 0, 3447, 36930, 40960
26, 0, 3777, 36600, 40960
27, 0, 4087, 36290, 40960
27, 0, 4417, 35960, 40960
25, 0, 4723, 35654, 40960
25, 0, 4899, 35478, 40960
12, 0, 4899, 35478, 40960
12, 0, 5087, 35290, 40960
4, 1, 6629, 33748, 40960
4, 1, 6651, 33726, 40960
68, 9, 5989, 34388, 40960
68, 9, 5989, 34388, 40960
6, 0, 5989, 34388, 40960
6, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
0, 0, 5989, 34388, 40960
