utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
1, 0, 0, 40377, 40960
68, 2, 0, 40377, 40960
68, 2, 0, 40377, 40960
100, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
18, 1, 0, 40377, 40960
18, 1, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40376, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
0, 0, 17, 40360, 40960
3, 0, 537, 39840, 40960
3, 0, 591, 39786, 40960
14, 0, 667, 39710, 40960
14, 0, 725, 39652, 40960
8, 0, 785, 39592, 40960
8, 0, 833, 39544, 40960
10, 0, 877, 39500, 40960
10, 0, 1377, 39000, 40960
22, 0, 1623, 38754, 40960
22, 0, 1963, 38414, 40960
31, 0, 2333, 38044, 40960
31, 0, 2717, 37660, 40960
31, 0, 3073, 37304, 40960
31, 0, 3429, 36948, 40960
31, 0, 3753, 36624, 40960
31, 0, 4123, 36254, 40960
31, 0, 4479, 35898, 40960
31, 0, 4835, 35542, 40960
30, 0, 5159, 35218, 40960
30, 0, 5527, 34850, 40960
31, 0, 5883, 34494, 40960
31, 0, 6241, 34136, 40960
31, 0, 6581, 33796, 40960
