utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
8, 0, 0, 40377, 40960
8, 0, 0, 40377, 40960
100, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
100, 3, 0, 40377, 40960
42, 1, 0, 40377, 40960
42, 1, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
1, 0, 513, 39864, 40960
1, 0, 545, 39832, 40960
14, 0, 587, 39790, 40960
14, 0, 623, 39754, 40960
5, 0, 661, 39716, 40960
5, 0, 703, 39674, 40960
6, 0, 747, 39630, 40960
6, 0, 779, 39598, 40960
5, 0, 815, 39562, 40960
5, 0, 855, 39522, 40960
5, 0, 1127, 39250, 40960
5, 0, 1301, 39076, 40960
24, 0, 1687, 38690, 40960
24, 0, 2073, 38304, 40960
33, 0, 2459, 37918, 40960
33, 0, 2845, 37532, 40960
33, 0, 3231, 37146, 40960
33, 0, 3617, 36760, 40960
33, 0, 4003, 36374, 40960
33, 0, 4389, 35988, 40960
33, 0, 4775, 35602, 40960
33, 0, 5161, 35216, 40960
33, 0, 5547, 34830, 40960
33, 0, 5847, 34530, 40960
33, 0, 6233, 34144, 40960
33, 0, 6619, 33758, 40960
33, 0, 7005, 33372, 40960
33, 0, 7391, 32986, 40960
33, 0, 7777, 32600, 40960
33, 0, 8163, 32214, 40960
33, 0, 8549, 31828, 40960
33, 0, 8849, 31528, 40960
33, 0, 9235, 31142, 40960
33, 0, 9589, 30788, 40960
32, 0, 9975, 30402, 40960
32, 0, 10329, 30048, 40960
32, 0, 10393, 29984, 40960
32, 0, 10393, 29984, 40960
0, 0, 10643, 29734, 40960
0, 0, 10901, 29476, 40960
24, 0, 11287, 29090, 40960
24, 0, 11673, 28704, 40960
33, 0, 12059, 28318, 40960
33, 0, 12445, 27932, 40960
33, 0, 12745, 27632, 40960
33, 0, 13131, 27246, 40960
33, 0, 13517, 26860, 40960
33, 0, 13731, 26646, 40960
26, 0, 13731, 26646, 40960
26, 0, 13795, 26582, 40960
3, 0, 13795, 26582, 40960
3, 0, 13795, 26582, 40960
0, 0, 13795, 26582, 40960
0, 0, 13949, 26428, 40960
2, 0, 14265, 26112, 40960
2, 0, 14287, 26090, 40960
3, 0, 14305, 26072, 40960
3, 0, 14331, 26046, 40960
3, 0, 14357, 26020, 40960
3, 0, 14381, 25996, 40960
3, 0, 14405, 25972, 40960
3, 0, 14429, 25948, 40960
3, 0, 14453, 25924, 40960
3, 0, 14477, 25900, 40960
3, 0, 14505, 25872, 40960
3, 0, 14535, 25842, 40960
3, 0, 14557, 25820, 40960
3, 0, 14581, 25796, 40960
3, 0, 14607, 25770, 40960
30, 13, 14759, 25618, 40960
30, 13, 14759, 25618, 40960
100, 40, 14759, 25618, 40960
100, 40, 14759, 25618, 40960
72, 37, 14901, 25476, 40960
72, 37, 14933, 25444, 40960
3, 0, 14955, 25422, 40960
3, 0, 15071, 25306, 40960
23, 1, 15071, 25306, 40960
23, 1, 15071, 25306, 40960
24, 1, 15071, 25306, 40960
24, 1, 15071, 25306, 40960
24, 0, 15071, 25306, 40960
24, 0, 15071, 25306, 40960
24, 0, 15071, 25306, 40960
24, 0, 15071, 25306, 40960
23, 0, 15071, 25306, 40960
23, 0, 15071, 25306, 40960
23, 0, 15071, 25306, 40960
23, 0, 15071, 25306, 40960
23, 0, 15071, 25306, 40960
23, 0, 15071, 25306, 40960
33, 1, 15033, 25344, 40960
33, 1, 15033, 25344, 40960
27, 0, 15033, 25344, 40960
27, 0, 15033, 25344, 40960
27, 0, 15033, 25344, 40960
27, 0, 15033, 25344, 40960
29, 0, 15033, 25344, 40960
29, 0, 15033, 25344, 40960
29, 0, 15033, 25344, 40960
29, 0, 15033, 25344, 40960
29, 0, 15033, 25344, 40960
29, 0, 15033, 25344, 40960
30, 0, 15033, 25344, 40960
30, 0, 15033, 25344, 40960
29, 0, 15033, 25344, 40960
29, 0, 14971, 25406, 40960
42, 2, 14971, 25406, 40960
42, 2, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
29, 0, 14971, 25406, 40960
51, 14, 14723, 25654, 40960
51, 14, 14723, 25654, 40960
85, 35, 14979, 25398, 40960
85, 35, 14979, 25398, 40960
24, 1, 14979, 25398, 40960
24, 1, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
24, 0, 14979, 25398, 40960
23, 0, 14979, 25398, 40960
23, 0, 14979, 25398, 40960
25, 1, 14841, 25536, 40960
25, 1, 14841, 25536, 40960
100, 51, 15013, 25364, 40960
100, 51, 15357, 25020, 40960
61, 20, 15525, 24852, 40960
61, 20, 15525, 24852, 40960
26, 1, 15525, 24852, 40960
26, 1, 15525, 24852, 40960
26, 1, 15525, 24852, 40960
26, 1, 15525, 24852, 40960
26, 1, 15525, 24852, 40960
26, 1, 15525, 24852, 40960
25, 1, 15525, 24852, 40960
25, 1, 15525, 24852, 40960
25, 1, 15525, 24852, 40960
25, 1, 15525, 24852, 40960
25, 1, 15525, 24852, 40960
25, 1, 15525, 24852, 40960
37, 2, 15455, 24922, 40960
37, 2, 15455, 24922, 40960
26, 1, 15455, 24922, 40960
26, 1, 15455, 24922, 40960
26, 1, 15455, 24922, 40960
26, 1, 15455, 24922, 40960
28, 1, 15455, 24922, 40960
28, 1, 15455, 24922, 40960
29, 1, 15455, 24922, 40960
29, 1, 15455, 24922, 40960
30, 1, 15455, 24922, 40960
30, 1, 15457, 24920, 40960
30, 1, 15457, 24920, 40960
30, 1, 15457, 24920, 40960
30, 0, 15457, 24920, 40960
30, 0, 15579, 24798, 40960
76, 32, 15579, 24798, 40960
76, 32, 15579, 24798, 40960
