utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
21, 0, 4507, 35831, 40960
3, 0, 4507, 35831, 40960
3, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
0, 0, 4507, 35831, 40960
6, 0, 4583, 35755, 40960
6, 0, 4583, 35755, 40960
0, 0, 4583, 35755, 40960
0, 0, 4583, 35755, 40960
1, 0, 4583, 35755, 40960
1, 0, 4583, 35755, 40960
10, 1, 4621, 35717, 40960
10, 1, 4627, 35711, 40960
10, 1, 4631, 35707, 40960
10, 1, 4633, 35705, 40960
46, 8, 4635, 35703, 40960
46, 8, 4639, 35699, 40960
43, 8, 4643, 35695, 40960
43, 8, 4645, 35693, 40960
41, 8, 4649, 35689, 40960
41, 8, 4653, 35685, 40960
41, 9, 4655, 35683, 40960
41, 9, 4659, 35679, 40960
41, 9, 4661, 35677, 40960
41, 9, 4667, 35671, 40960
40, 9, 4671, 35667, 40960
40, 9, 4673, 35665, 40960
40, 9, 4673, 35665, 40960
40, 9, 4679, 35659, 40960
40, 9, 4689, 35649, 40960
40, 9, 4689, 35649, 40960
40, 9, 4689, 35649, 40960
40, 9, 4689, 35649, 40960
40, 9, 4709, 35629, 40960
40, 9, 4709, 35629, 40960
39, 8, 4709, 35629, 40960
39, 8, 4709, 35629, 40960
40, 9, 4709, 35629, 40960
40, 9, 4709, 35629, 40960
40, 9, 4709, 35629, 40960
40, 9, 4729, 35609, 40960
39, 9, 4747, 35591, 40960
39, 9, 4749, 35589, 40960
40, 9, 4749, 35589, 40960
40, 9, 4751, 35587, 40960
39, 8, 4751, 35587, 40960
39, 8, 4751, 35587, 40960
40, 9, 4751, 35587, 40960
40, 9, 4751, 35587, 40960
39, 9, 4751, 35587, 40960
39, 9, 4751, 35587, 40960
40, 9, 4751, 35587, 40960
40, 9, 4751, 35587, 40960
40, 9, 4751, 35587, 40960
40, 9, 4753, 35585, 40960
40, 9, 4753, 35585, 40960
40, 9, 4753, 35585, 40960
39, 8, 4753, 35585, 40960
39, 8, 4753, 35585, 40960
18, 4, 4753, 35585, 40960
18, 4, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
