utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
40, 10, 4753, 35585, 40960
40, 10, 4753, 35585, 40960
51, 10, 4753, 35585, 40960
51, 10, 4753, 35585, 40960
34, 9, 4753, 35585, 40960
34, 9, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
35, 10, 4753, 35585, 40960
35, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
35, 10, 4753, 35585, 40960
35, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
34, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
38, 10, 4753, 35585, 40960
39, 10, 4753, 35585, 40960
39, 10, 4753, 35585, 40960
14, 3, 4753, 35585, 40960
14, 3, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
0, 0, 4753, 35585, 40960
