utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
24, 0, 26273, 14065, 40960
6, 0, 26273, 14065, 40960
6, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26273, 14065, 40960
0, 0, 26349, 13989, 40960
6, 0, 26349, 13989, 40960
6, 0, 26349, 13989, 40960
0, 0, 26349, 13989, 40960
0, 0, 26349, 13989, 40960
1, 0, 26359, 13979, 40960
1, 0, 26369, 13969, 40960
22, 11, 26369, 13969, 40960
22, 11, 26381, 13957, 40960
35, 28, 26387, 13951, 40960
35, 28, 26393, 13945, 40960
72, 58, 26401, 13937, 40960
72, 58, 26407, 13931, 40960
82, 71, 26419, 13919, 40960
82, 71, 26425, 13913, 40960
85, 74, 26437, 13901, 40960
86, 74, 26445, 13893, 40960
86, 74, 26447, 13891, 40960
79, 68, 26461, 13877, 40960
79, 68, 26487, 13851, 40960
66, 56, 26489, 13849, 40960
66, 56, 26489, 13849, 40960
70, 60, 26489, 13849, 40960
70, 60, 26489, 13849, 40960
87, 75, 26489, 13849, 40960
87, 75, 26531, 13807, 40960
86, 74, 26631, 13707, 40960
86, 74, 26651, 13687, 40960
87, 74, 26651, 13687, 40960
87, 74, 26651, 13687, 40960
86, 74, 26671, 13667, 40960
86, 74, 26671, 13667, 40960
87, 75, 26691, 13647, 40960
87, 75, 26691, 13647, 40960
87, 75, 26711, 13627, 40960
87, 75, 26711, 13627, 40960
88, 75, 26731, 13607, 40960
88, 75, 26731, 13607, 40960
88, 75, 26751, 13587, 40960
88, 75, 26751, 13587, 40960
86, 74, 26751, 13587, 40960
86, 74, 26771, 13567, 40960
86, 74, 26771, 13567, 40960
86, 74, 26771, 13567, 40960
88, 75, 26791, 13547, 40960
88, 75, 26791, 13547, 40960
63, 53, 26791, 13547, 40960
63, 53, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
0, 0, 26791, 13547, 40960
