utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
31, 7, 4953, 35385, 40960
34, 8, 4953, 35385, 40960
34, 8, 4953, 35385, 40960
40, 13, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
29, 6, 4953, 35385, 40960
29, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
33, 7, 4953, 35385, 40960
33, 7, 4953, 35385, 40960
33, 7, 4953, 35385, 40960
33, 7, 4953, 35385, 40960
1, 0, 4953, 35385, 40960
1, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
