utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
48, 15, 4953, 35385, 40960
48, 15, 4953, 35385, 40960
27, 7, 4953, 35385, 40960
27, 7, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
26, 6, 4953, 35385, 40960
26, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
26, 6, 4953, 35385, 40960
26, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
27, 6, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
31, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
32, 7, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
30, 6, 4953, 35385, 40960
31, 6, 4953, 35385, 40960
15, 3, 4953, 35385, 40960
15, 3, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
0, 0, 4953, 35385, 40960
