utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 2, 7893, 32445, 40960
26, 2, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
25, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7893, 32445, 40960
26, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
26, 3, 7903, 32435, 40960
26, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
26, 3, 7903, 32435, 40960
26, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
25, 3, 7903, 32435, 40960
26, 3, 7903, 32435, 40960
26, 3, 7903, 32435, 40960
2, 0, 7903, 32435, 40960
2, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
0, 0, 7903, 32435, 40960
