utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
53, 10, 4845, 35493, 40960
53, 10, 4847, 35491, 40960
55, 19, 4847, 35491, 40960
55, 19, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
51, 9, 4847, 35491, 40960
51, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
53, 9, 4847, 35491, 40960
53, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
50, 9, 4847, 35491, 40960
50, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
52, 9, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
53, 10, 4847, 35491, 40960
54, 10, 4847, 35491, 40960
54, 10, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
0, 0, 4847, 35491, 40960
