utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
38, 9, 5539, 34799, 40960
42, 9, 5539, 34799, 40960
42, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
36, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
37, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
38, 9, 5539, 34799, 40960
39, 9, 5539, 34799, 40960
39, 9, 5539, 34799, 40960
22, 5, 5539, 34799, 40960
22, 5, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
0, 0, 5539, 34799, 40960
