utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
59, 24, 7599, 32739, 40960
59, 24, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 12, 7599, 32739, 40960
43, 12, 7599, 32739, 40960
43, 12, 7599, 32739, 40960
43, 12, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 12, 7599, 32739, 40960
43, 12, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
43, 13, 7599, 32739, 40960
42, 12, 7607, 32731, 40960
42, 12, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 13, 7619, 32719, 40960
43, 12, 7659, 32679, 40960
43, 12, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
44, 13, 7661, 32677, 40960
44, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
44, 13, 7661, 32677, 40960
44, 13, 7661, 32677, 40960
44, 13, 7661, 32677, 40960
44, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
43, 13, 7661, 32677, 40960
43, 13, 7663, 32675, 40960
43, 13, 7663, 32675, 40960
43, 13, 7683, 32655, 40960
43, 13, 7803, 32535, 40960
43, 13, 7803, 32535, 40960
44, 13, 7803, 32535, 40960
44, 13, 7803, 32535, 40960
7, 2, 7803, 32535, 40960
7, 2, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
0, 0, 7803, 32535, 40960
